word,phonetics_us
including,/ɪnˈkludɪŋ/
artist,/ˈɑrtɪst/
big,/bɪg/
aware,/əˈwɛr/
pristine,/ˈprɪstin/
intent,/ɪnˈtɛnt/
fuchsia,/ˈfjuʃə/
harrowing,/ˈhæroʊɪŋ/
therefore,/ˈðɛrˌfɔr/
founding,/ˈfaʊndɪŋ/
flexibility,/ˌflɛksəˈbɪlɪti/
entirely,/ɪnˈtaɪərli/
lavender,/ˈlævəndɚ/
drawl,/drɔl/
hypocrite,/ˈhɪpəkrɪt/
mental,/ˈmɛntəl/
admirer,/ədˈmaɪərər/
run,/rʌn/
ascendancy,/əˈsɛndənsi/
impairment,/ɪmˈpɛərmənt/
crotch,/krɑtʃ/
diagram,/ˈdaɪəˌgræm/
joyful,/ˈdʒɔɪfəl/
leathery,/ˈlɛðəri/
despicable,/ˈdɛspɪkəbəl/
moderation,/ˌmɑdəˈreɪʃən/
purse,/pɝs/
pillow,/ˈpɪloʊ/
peril,/ˈpɛrəl/
reviewer,/rɪˈvjuːər/
dirt,/dɝt/
winged,/ˈwɪŋd/
pebble,/ˈpɛbəl/
toll,/toʊl/
identifier,/aɪˈdentɪfaɪəʳ/
baker,/ˈbeɪkɚ/
voltage,/ˈvoʊltɪdʒ/
golfer,/ˈgɒlfər/
catching,/ˈkætʃɪŋ/
planet,/ˈplænɪt/
public,/ˈpʌblɪk/
confidence,/ˈkɑnfɪdəns/
butcher,/ˈbʊtʃɚ/
seaman,/ˈsimən/
coded,/ˈkəʊdɪd/
janitor,/ˈdʒænɪtɚ/
dirty,/ˈdɝti/
grinder,/ˈgraɪndɚ/
priority,/praɪˈɔrɪti/
parchment,/ˈpɑrtʃmənt/
ostensibly,/ɒˈstɛnsəbli/
similarly,/ˈsɪmɪlərli/
wedge,/wɛdʒ/
superpower,/ˈsupɚˌpaʊɚ/
phallic,/ˈfælɪk/
crone,/kroʊn/
transient,/ˈtrænʃənt/
gene,/dʒin/
personally,/ˈpɝsənəli/
innocent,/ˈɪnəsənt/
approach,/əˈproʊtʃ/
concrete,/ˈkɒŋkriːt/
daily,/ˈdeɪli/
aspect,/ˈæspɛkt/
competent,/ˈkɑmpɪtənt/
Irish,/ˈaɪrɪʃ/
entrance,/ˈɛntrəns/
rude,/rud/
Warsaw,/ˈwɔːrsɔː/
inescapable,/ˌɪnəˈskeɪpəbəl/
departure,/dɪˈpɑrtʃɚ/
hop,/hɑp/
turner,/ˈtɜːnə/
slang,/slæŋ/
blood,/blʌd/
bridegroom,/ˈbraɪdˌgrum/
fruit,/frut/
onlooker,/ˈɑnˌlʊkɚ/
whoa,/hwoʊ/
keynote,/ˈkiˌnoʊt/
guarded,/ˈgɑrdɪd/
fridge,/frɪdʒ/
province,/ˈprɑvɪns/
distinguished,/dɪˈstɪŋgwɪʃt/
stack,/stæk/
winking,/ˈwɪŋkɪŋ/
wed,/wɛd/
candlestick,/ˈkændəlˌstɪk/
subversive,/səbˈvɝsɪv/
thigh,/θaɪ/
dye,/daɪ/
rebellion,/rɪˈbɛljən/
posterior,/pɑˈstɪriɚ/
crosswalk,/ˈkrɔsˌwɔk/
recently,/ˈrisəntli/
swelling,/ˈswɛlɪŋ/
fissure,/ˈfɪʃɚ/
ferry,/ˈfɛri/
express,/ɪkˈsprɛs/
trashy,/ˈtræʃi/
melting,/ˈmeltɪŋ/
surprising,/sɚˈpraɪzɪŋ/
trailing,/ˈtreɪlɪŋ/
independently,/ˌɪndɪˈpɛndəntli/
romance,/n./
beside,/bɪˈsaɪd/
singer,/ˈsɪŋə/
elfin,/ˈɛlfɪn/
skull,/skʌl/
populous,/ˈpɑpjələs/
housekeeper,/ˈhaʊsˌkipɚ/
prevailing,/prɪˈveɪlɪŋ/
faraway,/ˈfɑrəˈweɪ/
piercing,/ˈpɪrsɪŋ/
budgeting,/ˈbʌdʒɪtɪŋ/
wedlock,/ˈwɛdˌlɑk/
Ba,/ˌbiːˈeɪ/
harp,/hɑrp/
woody,/ˈwʊdi/
rampart,/ˈræmpɑrt/
French,/frɛntʃ/
conscious,/ˈkɑnʃəs/
elongated,/ˈiːlɒŋgeɪtɪd/
elusive,/ɪˈlusɪv/
rising,/ˈraɪzɪŋ/
relaxation,/ˌrilækˈseɪʃən/
transition,/trænˈzɪʃən/
explosive,/ɪkˈsploʊsɪv/
graded,/ˈgreɪdɪd/
frail,/freɪl/
widowed,/ˈwɪdoʊd/
shoot,/ʃut/
orthodox,/ˈɔrθəˌdɑks/
gravel,/ˈgrævəl/
poodle,/ˈpudəl/
excited,/ɪkˈsaɪtɪd/
spaghetti,/spəˈgɛti/
feeder,/ˈfiːdər/
frank,/fræŋk/
hub,/hʌb/
disco,/ˈdɪskoʊ/
badger,/ˈbædʒɚ/
railing,/ˈreɪlɪŋ/
sportsmanship,/ˈspɔːrtsmənʃɪp/
search,/sɝtʃ/
tipsy,/ˈtɪpsi/
colony,/ˈkɑləni/
emphatic,/ɛmˈfætɪk/
blender,/ˈblɛndɚ/
nudity,/ˈnudɪti/
diameter,/daɪˈæmɪtɚ/
exterior,/ɪkˈstɪriɚ/
hardy,/ˈhɑrdi/
compulsory,/kəmˈpʌlsəri/
dun,/dʌn/
banner,/ˈbænɚ/
nomination,/ˌnɑməˈneɪʃən/
sparkle,/ˈspɑrkəl/
prerogative,/prɪˈrɑgətɪv/
absolutely,/ˌæbsəˈlutli/
denim,/ˈdɛnəm/
trusted,/ˈtrʌstɪd/
lawyer,/ˈlɔɪɚ/
barren,/ˈbærən/
breeze,/briz/
attentively,/əˈtɛntɪvli/
corporate,/ˈkɔrpərɪt/
Thursday,/ˈθɝzdeɪ/
painless,/ˈpeɪnləs/
wasted,/ˈweɪstɪd/
regional,/ˈridʒənəl/
voyage,/ˈvɔɪɪdʒ/
seashell,/ˈsiˌʃɛl/
aerosol,/ˈɛrəˌsɔl/
fare,/fɛr/
tube,/tub/
superior,/səˈpɪriɚ/
toothbrush,/ˈtuθˌbrʌʃ/
educator,/ˈɛdʒʊkeɪtər/
martyr,/ˈmɑrtɚ/
boundless,/ˈbaʊndlɪs/
smuggling,/ˈsmʌgəlɪŋ/
undeserved,/ˌʌndɪˈzɝvd/
privileged,/ˈprɪvəlɪdʒd/
terrified,/ˈtɛrəˌfaɪd/
core,/kɔr/
probable,/ˈprɑbəbəl/
obnoxious,/əbˈnɑkʃəs/
fertile,/ˈfɝtəl/
heater,/ˈhitɚ/
saunter,/ˈsɔntɚ/
stove,/stoʊv/
transitory,/ˈtrænsɪˌtɔri/
sip,/sɪp/
unlikely,/ʌnˈlaɪkli/
cause,/kɔz/
September,/sɛpˈtɛmbɚ/
hospitality,/ˌhɑspɪˈtælɪti/
damp,/dæmp/
quay,/ki/
exclusively,/ɪkˈskluːsɪvli/
domination,/ˌdɑməˈneɪʃən/
exception,/ɪkˈsɛpʃən/
dedication,/ˌdɛdɪˈkeɪʃən/
obligatory,/əˈblɪgəˌtɔri/
royalty,/ˈrɔɪəlti/
underground,/adv. ˈʌndɚˈgraʊnd; adj./
confinement,/kənˈfaɪnmənt/
corpse,/kɔrps/
virginity,/vɚˈdʒɪnɪti/
maple,/ˈmeɪpəl/
nuisance,/ˈnusəns/
heroic,/hɪˈroʊɪk/
octopus,/ˈɑktəpəs/
riverbank,/ˈrɪvərbæŋk/
icicle,/ˈaɪsɪkəl/
epitome,/ɪˈpɪtəmi/
abridged,/əˈbrɪdʒd/
manually,/ˈmænjuəli/
sullen,/ˈsʌlən/
inefficiency,/ˌɪnɪˈfɪʃənsi/
earlier,/ˈɜːrliər/
already,/ɔlˈrɛdi/
windward,/ˈwɪndwɚd/
scab,/skæb/
intervene,/ˌɪntɚˈvin/
perchance,/pɚˈtʃæns/
epiphany,/ɪˈpɪfənɪ/
chamfer,/ˈtʃæmfə/
whom,/hum/
imperial,/ɪmˈpɪriəl/
tardy,/ˈtɑrdi/
Peruvian,/pəˈruviən/
ponder,/ˈpɑndɚ/
jury,/ˈdʒʊri/
adjoining,/əˈdʒɔɪnɪŋ/
sensitive,/ˈsɛnsɪtɪv/
failing,/ˈfeɪlɪŋ/
speculation,/ˌspɛkjəˈleɪʃən/
tangle,/ˈtæŋgəl/
early,/ˈɝli/
squabbling,/ˈskwɒbəlɪŋ/
hunt,/hʌnt/
heart,/hɑrt/
editor,/ˈɛdɪtər/
heroin,/ˈhɛroʊɪn/
literature,/ˈlɪtərətʃɚ/
shuttlecock,/ˈʃʌtəlˌkɑk/
gravity,/ˈgrævɪti/
cutlet,/ˈkʌtlɪt/
cool,/kul/
provisional,/prəˈvɪʒənəl/
dismay,/dɪsˈmeɪ/
dreary,/ˈdrɪri/
buffalo,/ˈbʌfəˌloʊ/
trump,/trʌmp/
clatter,/ˈklætɚ/
shaving,/ˈʃeɪvɪŋ/
accent,/n. ˈæksɛnt; v. also ækˈsɛnt/
timber,/ˈtɪmbɚ/
kinda,/ˈkaɪndə/
busy,/ˈbɪzi/
inexhaustible,/ˌɪnɪgˈzɔstəbəl/
scrawny,/ˈskrɔni/
gland,/glænd/
blockbuster,/ˈblɑkˌbʌstɚ/
vinyl,/ˈvaɪnəl/
delinquency,/dɪˈlɪŋkwənsi/
thus,/ðʌs/
discrepancy,/dɪˈskrɛpənsi/
babble,/ˈbæbəl/
fortress,/ˈfɔrtrɪs/
debtor,/ˈdɛtər/
adhesive,/ædˈhisɪv/
carpet,/ˈkɑrpɪt/
commiserate,/kəˈmɪzəˌreɪt/
jogging,/ˈdʒɒgɪŋ/
stray,/streɪ/
intercourse,/ˈɪntɚˌkɔrs/
effectiveness,/ɪˈfɛktɪvnɪs/
dealing,/ˈdilɪŋ/
west,/wɛst/
Medicare,/ˈmɛdɪˌkɛr/
annuity,/əˈnuɪti/
signing,/ˈsaɪnɪŋ/
equipment,/ɪˈkwɪpmənt/
manifold,/ˈmænəˌfoʊld/
blackmail,/ˈblækˌmeɪl/
alternatively,/ɔːlˈtɜːrnətɪvli/
coldly,/ˈkəʊldli/
log,/lɔg/
horde,/hɔrd/
smashed,/ˈsmæʃt/
endangered,/ɪnˈdeɪndʒəd/
proprietor,/prəˈpraɪɪtɚ/
lizard,/ˈlɪzɚd/
gratefully,/ˈgreɪtfʊli/
stewed,/ˈstjuːd/
everyone,/ˈɛvriˌwʌn/
locking,/ˈlɒkɪŋ/
envious,/ˈɛnviəs/
adjacent,/əˈdʒeɪsənt/
spot,/spɑt/
perseverance,/ˌpɜːrsɪˈvɪərəns/
association,/əˌsoʊsiˈeɪʃən/
narrative,/ˈnærətɪv/
borrower,/ˈbɒrəʊər/
oppression,/əˈprɛʃən/
successive,/səkˈsɛsɪv/
tic,/tɪk/
user,/ˈjuːzər/
avoidance,/əˈvɔɪdəns/
redesign,/ˌriːdɪˈzaɪn/
gallon,/ˈgælən/
city,/ˈsɪti/
casually,/ˈkæʒuəli/
headstrong,/ˈhɛdˌstrɔŋ/
fig,/fɪg/
anchorage,/ˈæŋkərɪdʒ/
overflow,/v. ˌoʊvɚˈfloʊ; n. ˈoʊvɚˌfloʊ/
killer,/ˈkɪlər/
blind,/blaɪnd/
ago,/əˈgoʊ/
amplifier,/ˈæmpləˌfaɪɚ/
basketball,/ˈbæskɪtˌbɔl/
intentional,/ɪnˈtɛnʃənəl/
infatuated,/ɪnˈfætʃuˌeɪtɪd/
temperate,/ˈtɛmpərɪt/
drug,/drʌg/
reflection,/rɪˈflɛkʃən/
husk,/hʌsk/
hovel,/ˈhʌvəl/
changing,/ˈtʃeɪndʒɪŋ/
neither,/ˈniðɚ/
procurement,/prəˈkjʊərmənt/
scorching,/ˈskɔːrtʃɪŋ/
activity,/ækˈtɪvɪti/
shroud,/ʃraʊd/
righteousness,/ˈraɪtʃəsnɪs/
concurrent,/kənˈkɜrənt/
craggy,/ˈkrægi/
computation,/ˌkɑmpjʊˈteɪʃən/
tremor,/ˈtrɛmɚ/
therein,/ˌðɛrˈɪn/
postage,/ˈpoʊstɪdʒ/
instinctive,/ɪnˈstɪnktəv/
asthma,/ˈæzmə/
equally,/ˈikwəli/
ERM,/ˌiːɑːrˈɛm/
childish,/ˈtʃaɪldɪʃ/
communist,/ˈkɑmjənɪst/
cell,/sɛl/
window,/ˈwɪndoʊ/
OT,/ˌəʊˈtiː/
candidacy,/ˈkændɪdəsi/
wily,/ˈwaɪli/
analogous,/əˈnæləgəs/
bathroom,/ˈbæθˌrum/
legacy,/ˈlɛgəsi/
forgiving,/fɚˈgɪvɪŋ/
latex,/ˈleɪtɛks/
fall,/fɔl/
snug,/snʌg/
effluent,/ˈɛfluənt/
celebrated,/ˈsɛləˌbreɪtɪd/
skiing,/ˈskiːɪŋ/
malt,/mɔlt/
elective,/ɪˈlɛktɪv/
hark,/hɑrk/
thickness,/ˈθɪknɪs/
enthusiast,/ɛnˈθuziˌæst/
location,/loʊˈkeɪʃən/
sewage,/ˈsuɪdʒ/
role,/roʊl/
infertile,/ɪnˈfɝtəl/
chivalry,/ˈʃɪvəlri/
freaky,/ˈfriːki/
sore,/sɔr/
mommy,/ˈmɑmi/
merge,/mɝdʒ/
gifted,/ˈgɪftɪd/
sunlight,/ˈsʌnˌlaɪt/
unlawful,/ʌnˈlɔfəl/
advertisement,/ˌædvɚˈtaɪzmənt/
eminent,/ˈɛmənənt/
progressive,/prəˈgrɛsɪv/
turnover,/ˈtɝnˌoʊvɚ/
platinum,/ˈplætənəm/
handle,/ˈhændəl/
prevail,/prɪˈveɪl/
captivating,/ˈkæptɪveɪtɪŋ/
affix,/v. əˈfɪks; n. ˈæfɪks/
sad,/sæd/
indigestion,/ˌɪndɪˈdʒɛstʃən/
dizziness,/ˈdɪzinɪs/
restrained,/rɪˈstreɪnd/
mash,/mæʃ/
ere,/ɛə/
reconciliation,/ˌrɛkənˌsɪliˈeɪʃən/
global,/ˈgloʊbəl/
drop,/drɑp/
vegetation,/ˌvɛdʒɪˈteɪʃən/
remote,/rɪˈmoʊt/
contour,/ˈkɑntʊr/
thankful,/ˈθæŋkfəl/
bone,/boʊn/
therapeutic,/ˌθɛrəˈpjutɪk/
zombie,/ˈzɑmbi/
plaza,/ˈplɑzə/
efficiency,/ɪˈfɪʃənsi/
tangled,/ˈtæŋgəld/
stability,/stəˈbɪlɪti/
unmarried,/ˌʌnˈmærid/
welcoming,/ˈwɛlkəmɪŋ/
follower,/ˈfɑloʊɚ/
springy,/ˈsprɪŋi/
aged,/ˈeɪdʒɪd for 1; eɪdʒd for 2/
roasting,/ˈrəʊstɪŋ/
hero,/ˈhɪroʊ/
dump,/dʌmp/
diffident,/ˈdɪfɪdənt/
position,/pəˈzɪʃən/
restricted,/rɪˈstrɪktɪd/
sensibly,/ˈsɛnsɪbli/
presentation,/ˌprɛzənˈteɪʃən/
land,/lænd/
healthy,/ˈhɛlθi/
thinly,/ˈθɪnli/
naturalist,/ˈnætʃərəlɪst/
tradesman,/ˈtreɪdmən/
oath,/oʊθ/
methodical,/məˈθɑdɪkəl/
really,/ˈriəli/
thrashing,/ˈθræʃɪŋ/
faction,/ˈfækʃən/
forestry,/ˈfɔrəstri/
discouraging,/dɪsˈkʌrɪdʒɪŋ/
warehouse,/n. ˈwɛrˌhaʊs; v. -ˌhaʊz/
grisly,/ˈgrɪzli/
value,/ˈvælju/
funeral,/ˈfjunərəl/
client,/ˈklaɪənt/
unprofitable,/ʌnˈprɑfɪtəbəl/
paralysis,/pəˈræləsɪs/
promise,/ˈprɑmɪs/
nucleus,/ˈnukliəs/
appalled,/əˈpɔld/
rightly,/ˈraɪtli/
bolt,/boʊlt/
pullover,/ˈpʊlˌoʊvɚ/
speed,/spid/
diaphragm,/ˈdaɪəˌfræm/
pocket,/ˈpɑkɪt/
wildly,/ˈwaɪldli/
exploitation,/ˌɛksplɔɪˈteɪʃən/
fishing,/ˈfɪʃɪŋ/
trader,/ˈtreɪdɚ/
sprinkling,/ˈsprɪŋklɪŋ/
probably,/ˈprɑbəbli/
incredibly,/ɪnˈkrɛdɪbli/
bridge,/brɪdʒ/
pirate,/ˈpaɪrət/
racing,/ˈreɪsɪŋ/
hardened,/ˈhɑːrdənd/
angling,/ˈæŋglɪŋ/
chow,/tʃaʊ/
roll,/roʊl/
idea,/aɪˈdiə/
striped,/ˈstraɪpt/
depend,/dɪˈpɛnd/
rectangle,/ˈrɛkˌtæŋgəl/
carnage,/ˈkɑrnɪdʒ/
dividend,/ˈdɪvɪˌdɛnd/
paper,/ˈpeɪpɚ/
hooked,/hʊkt/
forthright,/ˈfɔrθˌraɪt/
fluoride,/ˈflʊraɪd/
blink,/blɪŋk/
artery,/ˈɑrtəri/
hush,/hʌʃ/
faithfully,/ˈfeɪθfʊli/
instance,/ˈɪnstəns/
miraculous,/mɪˈrækjələs/
jagged,/ˈdʒægɪd/
crossly,/ˈkrɒsli/
rustle,/ˈrʌsəl/
neigh,/neɪ/
destiny,/ˈdɛstəni/
shaky,/ˈʃeɪki/
unsubscribe,/ˌʌnsəbˈskraɪb/
pussy,/ˈpʊsi/
aboard,/əˈbɔrd/
dying,/ˈdaɪɪŋ/
spotted,/ˈspɑtɪd/
enduring,/ɪnˈdjʊərɪŋ/
observant,/əbˈzɝvənt/
biography,/baɪˈɑgrəfi/
customer,/ˈkʌstəmɚ/
poisoning,/ˈpɔɪzənɪŋ/
water,/ˈwɔtɚ/
junction,/ˈdʒʌŋkʃən/
mascot,/ˈmæskɑt/
colon,/ˈkoʊlən/
tuition,/tuˈɪʃən/
average,/ˈævərɪdʒ/
fiat,/ˈfiɑt/
basement,/ˈbeɪsmənt/
apprentice,/əˈprɛntɪs/
clam,/klæm/
missionary,/ˈmɪʃəˌnɛri/
caution,/ˈkɔʃən/
vocal,/ˈvoʊkəl/
reclamation,/ˌrɛkləˈmeɪʃən/
shipper,/ˈʃɪpər/
greed,/grid/
deuce,/dus/
ironic,/aɪˈrɑnɪk/
truant,/ˈtruənt/
tat,/ˈtæt/
sudden,/ˈsʌdən/
puzzle,/ˈpʌzəl/
future,/ˈfjutʃɚ/
plot,/plɑt/
stone,/stoʊn/
doorman,/ˈdɔrˌmæn/
escrow,/ɛˈskrəʊ/
hatter,/ˈhætɚ/
cop,/kɑp/
Christianity,/ˌkrɪstʃiˈænɪti/
hyena,/haɪˈinə/
kitty,/ˈkɪti/
muted,/ˈmjuːtɪd/
increment,/ˈɪnkrəmənt/
parody,/ˈpærədi/
pastoral,/ˈpæstərəl/
affirmation,/ˌæfɚˈmeɪʃən/
meteor,/ˈmitiɚ/
imposition,/ˌɪmpəˈzɪʃən/
branch,/bræntʃ/
cask,/kæsk/
final,/ˈfaɪnəl/
impeccable,/ɪmˈpɛkəbəl/
coolant,/ˈkulənt/
alight,/əˈlaɪt/
discussion,/dɪˈskʌʃən/
household,/ˈhaʊsˌhoʊld/
exactly,/ɪgˈzæktli/
cyclone,/ˈsaɪkloʊn/
listener,/ˈlɪsənər/
dais,/ˈdeɪɪs/
ingenious,/ɪnˈdʒinjəs/
stout,/staʊt/
Africa,/ˈæfrɪkə/
frequently,/ˈfriːkwəntli/
parity,/ˈpærɪti/
amazingly,/əˈmeɪzɪŋli/
administrator,/ədˈmɪnɪstreɪtər/
tarry,/ˈtæri/
conversational,/ˌkɑnvɚˈseɪʃənəl/
declared,/dɪˈklɛəd/
persecution,/ˌpɝsɪˈkjuʃən/
inversion,/ɪnˈvɝʒən/
wrangler,/ˈræŋɡlə/
outsider,/ˌaʊtˈsaɪdɚ/
intro,/ˈɪntrəʊ/
tile,/taɪl/
openness,/ˈəʊpənnɪs/
traumatic,/traʊˈmætɪk/
visionary,/ˈvɪʒəˌnɛri/
fuzz,/fʌz/
clove,/kloʊv/
cotton,/ˈkɑtən/
garlic,/ˈgɑrlɪk/
kiln,/kɪl/
energy,/ˈɛnɚdʒi/
jest,/dʒɛst/
jacket,/ˈdʒækɪt/
soiled,/sɔɪld/
penniless,/ˈpɛnɪlɪs/
supermarket,/ˈsupɚˌmɑrkɪt/
unsurpassed,/ˌʌnsərˈpɑːst/
blatant,/ˈbleɪtnt/
