id,word,ipa,audio_path
45,absolute,/ˈæbsəluːt/,data/raw/phonemeref_data/audio/absolute/en1001040.mp3
46,absolutely,/ˌæbsəˈluːtli/,data/raw/phonemeref_data/audio/absolutely/en000315.mp3
47,absolutes,/ˈæbsəluːt/,data/raw/phonemeref_data/audio/absolutes/en1001040.mp3
48,absorbing,/əbˈzɔːrbɪŋ/,data/raw/phonemeref_data/audio/absorbing/en1001066.mp3
49,absorbs,/əbˈzɔːrb/,data/raw/phonemeref_data/audio/absorbs/en000328.mp3
50,absorption,/əbˈzɔːrpʃən/,data/raw/phonemeref_data/audio/absorption/en1001078.mp3
51,absorptions,/əbˈzɔːrpʃən/,data/raw/phonemeref_data/audio/absorptions/en1001078.mp3
52,abstain,/æbˈsteɪn/,data/raw/phonemeref_data/audio/abstain/en1001088.mp3
53,abstinence,/ˈæbstɪnəns/,data/raw/phonemeref_data/audio/abstinence/en1001096.mp3
54,abstract,/ˈæbstrækt/,data/raw/phonemeref_data/audio/abstract/en000332.mp3
55,abstraction,/æbˈstrækʃən/,data/raw/phonemeref_data/audio/abstraction/en1001107.mp3
56,abstractions,/æbˈstrækʃən/,data/raw/phonemeref_data/audio/abstractions/en1001107.mp3
57,abstracts,/ˈæbstrækt/,data/raw/phonemeref_data/audio/abstracts/en000332.mp3
58,absurd,/æbˈsɜːrd/,data/raw/phonemeref_data/audio/absurd/en000340.mp3
59,absurdity,/əbˈsɜːrdɪti/,data/raw/phonemeref_data/audio/absurdity/en1001111.mp3
60,abundance,/əˈbʌndəns/,data/raw/phonemeref_data/audio/abundance/en1001126.mp3
61,abundant,/əˈbʌndənt/,data/raw/phonemeref_data/audio/abundant/en1001130.mp3
62,abuses,/əˈbjuːs/,data/raw/phonemeref_data/audio/abuses/en000351.mp3
63,abusive,/əˈbjuːsɪv/,data/raw/phonemeref_data/audio/abusive/en1001150.mp3
64,abyss,/æˈbɪs/,data/raw/phonemeref_data/audio/abyss/en000367.mp3
65,AC,/ˌeɪˈsiː/,data/raw/phonemeref_data/audio/AC/en1001185.mp3
66,academic,/ˌækəˈdɛmɪk/,data/raw/phonemeref_data/audio/academic/en000371.mp3
67,academics,/ˌækəˈdɛmɪk/,data/raw/phonemeref_data/audio/academics/en000371.mp3
68,academy,/əˈkædəmi/,data/raw/phonemeref_data/audio/academy/en000380.mp3
69,accent,/ˈæksənt/,data/raw/phonemeref_data/audio/accent/en000395.mp3
70,accents,/ˈæksənt/,data/raw/phonemeref_data/audio/accents/en000395.mp3
71,acceptable,/ækˈsɛptəbəl/,data/raw/phonemeref_data/audio/acceptable/en000419.mp3
72,acceptance,/ækˈsɛptəns/,data/raw/phonemeref_data/audio/acceptance/en000426.mp3
73,acceptances,/ækˈsɛptəns/,data/raw/phonemeref_data/audio/acceptances/en000426.mp3
74,acceptation,/ˌæksɛpˈteɪʃən/,data/raw/phonemeref_data/audio/acceptation/en1001242.mp3
75,accepted,/ækˈsɛptɪd/,data/raw/phonemeref_data/audio/accepted/en000438.mp3
76,accepts,/ækˈsɛpt/,data/raw/phonemeref_data/audio/accepts/en000403.mp3
77,access,/ˈæksɛs/,data/raw/phonemeref_data/audio/access/en000442.mp3
78,accessibility,/əkˌsɛsɪˈbɪlɪti/,data/raw/phonemeref_data/audio/accessibility/en1001253.mp3
79,accessible,/ækˈsɛsɪbəl/,data/raw/phonemeref_data/audio/accessible/en000459.mp3
80,accession,/ækˈsɛʃən/,data/raw/phonemeref_data/audio/accession/en1001268.mp3
81,accessions,/ækˈsɛʃən/,data/raw/phonemeref_data/audio/accessions/en1001268.mp3
82,accessory,/ækˈsɛsəri/,data/raw/phonemeref_data/audio/accessory/en000463.mp3
83,accident,/ˈæksɪdənt/,data/raw/phonemeref_data/audio/accident/en000470.mp3
84,accidental,/ˌæksɪˈdɛntəl/,data/raw/phonemeref_data/audio/accidental/en1001273.mp3
85,accidentally,/ˌæksɪˈdɛntəli/,data/raw/phonemeref_data/audio/accidentally/en000480.mp3
86,accidents,/ˈæksɪdənt/,data/raw/phonemeref_data/audio/accidents/en000470.mp3
87,acclaim,/əˈkleɪm/,data/raw/phonemeref_data/audio/acclaim/en1001289.mp3
88,accolade,/ˈækəleɪd/,data/raw/phonemeref_data/audio/accolade/en1001297.mp3
89,accommodates,/əˈkɒmədeɪt/,data/raw/phonemeref_data/audio/accommodates/en000492.mp3
90,accomplice,/əˈkɒmplɪs/,data/raw/phonemeref_data/audio/accomplice/en1001323.mp3
91,accomplices,/əˈkɒmplɪs/,data/raw/phonemeref_data/audio/accomplices/en1001323.mp3
92,accomplished,/əˈkʌmplɪʃt/,data/raw/phonemeref_data/audio/accomplished/en000534.mp3
93,accomplishment,/əˈkʌmplɪʃmənt/,data/raw/phonemeref_data/audio/accomplishment/en000542.mp3
94,accomplishments,/əˈkʌmplɪʃmənt/,data/raw/phonemeref_data/audio/accomplishments/en000542.mp3
95,accord,/əˈkɔːrd/,data/raw/phonemeref_data/audio/accord/en000556.mp3
96,accordingly,/əˈkɔːrdɪŋli/,data/raw/phonemeref_data/audio/accordingly/en000581.mp3
97,accordion,/əˈkɔːrdɪən/,data/raw/phonemeref_data/audio/accordion/en1001330.mp3
98,accords,/əˈkɔːrd/,data/raw/phonemeref_data/audio/accords/en000556.mp3
99,account,/əˈkaʊnt/,data/raw/phonemeref_data/audio/account/en000596.mp3
100,accountability,/əˌkaʊntəˈbɪlɪti/,data/raw/phonemeref_data/audio/accountability/en000612.mp3
101,accountable,/əˈkaʊntəbəl/,data/raw/phonemeref_data/audio/accountable/en000625.mp3
102,accountant,/əˈkaʊntənt/,data/raw/phonemeref_data/audio/accountant/en000632.mp3
103,accountants,/əˈkaʊntənt/,data/raw/phonemeref_data/audio/accountants/en000632.mp3
104,accounting,/əˈkaʊntɪŋ/,data/raw/phonemeref_data/audio/accounting/en000647.mp3
105,accounts,/əˈkaʊnt/,data/raw/phonemeref_data/audio/accounts/en000596.mp3
106,accreditation,/əˌkrɛdɪˈteɪʃən/,data/raw/phonemeref_data/audio/accreditation/en1001376.mp3
107,accretion,/əˈkriːʃən/,data/raw/phonemeref_data/audio/accretion/en1001386.mp3
108,accretions,/əˈkriːʃən/,data/raw/phonemeref_data/audio/accretions/en1001386.mp3
109,accrual,/əˈkruːəl/,data/raw/phonemeref_data/audio/accrual/en000651.mp3
110,accruals,/əˈkruːəl/,data/raw/phonemeref_data/audio/accruals/en000651.mp3
111,accrue,/əˈkruː/,data/raw/phonemeref_data/audio/accrue/en000666.mp3
112,accumulates,/əˈkjuːmjʊleɪt/,data/raw/phonemeref_data/audio/accumulates/en1001394.mp3
113,accumulation,/əˌkjuːmjʊˈleɪʃən/,data/raw/phonemeref_data/audio/accumulation/en1001416.mp3
114,accumulations,/əˌkjuːmjʊˈleɪʃən/,data/raw/phonemeref_data/audio/accumulations/en1001416.mp3
115,accuracy,/ˈækjʊrəsi/,data/raw/phonemeref_data/audio/accuracy/en000689.mp3
116,accurate,/ˈækjʊrət/,data/raw/phonemeref_data/audio/accurate/en000696.mp3
117,accurately,/ˈækjʊrətli/,data/raw/phonemeref_data/audio/accurately/en000705.mp3
118,accusation,/ˌækjʊˈzeɪʃən/,data/raw/phonemeref_data/audio/accusation/en1001433.mp3
119,accusations,/ˌækjʊˈzeɪʃən/,data/raw/phonemeref_data/audio/accusations/en1001433.mp3
120,accuser,/əˈkjuːzər/,data/raw/phonemeref_data/audio/accuser/en1001449.mp3
121,accusers,/əˈkjuːzər/,data/raw/phonemeref_data/audio/accusers/en1001449.mp3
122,accuses,/əˈkjuːz/,data/raw/phonemeref_data/audio/accuses/en000715.mp3
123,accustomed,/əˈkʌstəmd/,data/raw/phonemeref_data/audio/accustomed/en000730.mp3
124,ace,/ˈeɪs/,data/raw/phonemeref_data/audio/ace/en000747.mp3
125,aces,/ˈeɪs/,data/raw/phonemeref_data/audio/aces/en000747.mp3
126,acetate,/ˈæsɪteɪt/,data/raw/phonemeref_data/audio/acetate/en1001478.mp3
127,ache,/ˈeɪk/,data/raw/phonemeref_data/audio/ache/en000750.mp3
128,aches,/ˈeɪk/,data/raw/phonemeref_data/audio/aches/en000750.mp3
129,achievable,/əˈtʃiːvəbəl/,data/raw/phonemeref_data/audio/achievable/en000763.mp3
130,achievement,/əˈtʃiːvmənt/,data/raw/phonemeref_data/audio/achievement/en000782.mp3
131,achievements,/əˈtʃiːvmənt/,data/raw/phonemeref_data/audio/achievements/en000782.mp3
132,achieves,/əˈtʃiːv/,data/raw/phonemeref_data/audio/achieves/en000774.mp3
133,aching,/ˈeɪkɪŋ/,data/raw/phonemeref_data/audio/aching/en000792.mp3
134,acid,/ˈæsɪd/,data/raw/phonemeref_data/audio/acid/en1001491.mp3
135,acids,/ˈæsɪd/,data/raw/phonemeref_data/audio/acids/en1001491.mp3
136,acknowledged,/əkˈnɒlɪdʒd/,data/raw/phonemeref_data/audio/acknowledged/en000814.mp3
137,acknowledges,/ækˈnɒlɪdʒ/,data/raw/phonemeref_data/audio/acknowledges/en000802.mp3
138,acme,/ˈækmi/,data/raw/phonemeref_data/audio/acme/en1001526.mp3
139,acne,/ˈækni/,data/raw/phonemeref_data/audio/acne/en1001534.mp3
140,acorn,/ˈeɪkɔːrn/,data/raw/phonemeref_data/audio/acorn/en000834.mp3
141,acorns,/ˈeɪkɔːrn/,data/raw/phonemeref_data/audio/acorns/en000834.mp3
142,acoustic,/əˈkuːstɪk/,data/raw/phonemeref_data/audio/acoustic/en1001542.mp3
143,acquaintance,/əˈkweɪntəns/,data/raw/phonemeref_data/audio/acquaintance/en000856.mp3
144,acquaintances,/əˈkweɪntəns/,data/raw/phonemeref_data/audio/acquaintances/en000856.mp3
145,acquiesce,/ˌækwiˈɛs/,data/raw/phonemeref_data/audio/acquiesce/en1001553.mp3
146,acquiescence,/ˌækwiˈɛsəns/,data/raw/phonemeref_data/audio/acquiescence/en1001568.mp3
147,acquired,/əˈkwaɪərd/,data/raw/phonemeref_data/audio/acquired/en000886.mp3
148,acquires,/əˈkwaɪər/,data/raw/phonemeref_data/audio/acquires/en000879.mp3
149,acquisition,/ˌækwɪˈzɪʃən/,data/raw/phonemeref_data/audio/acquisition/en000890.mp3
150,acquisitions,/ˌækwɪˈzɪʃən/,data/raw/phonemeref_data/audio/acquisitions/en000890.mp3
151,acquittal,/əˈkwɪtəl/,data/raw/phonemeref_data/audio/acquittal/en1001575.mp3
152,acre,/ˈeɪkər/,data/raw/phonemeref_data/audio/acre/en000917.mp3
153,acreage,/ˈeɪkərɪdʒ/,data/raw/phonemeref_data/audio/acreage/en1001589.mp3
154,acreages,/ˈeɪkərɪdʒ/,data/raw/phonemeref_data/audio/acreages/en1001589.mp3
155,acres,/ˈeɪkər/,data/raw/phonemeref_data/audio/acres/en000917.mp3
156,acrid,/ˈækrɪd/,data/raw/phonemeref_data/audio/acrid/en1001598.mp3
157,acrobat,/ˈækrəbæt/,data/raw/phonemeref_data/audio/acrobat/en1001615.mp3
158,acrobats,/ˈækrəbæt/,data/raw/phonemeref_data/audio/acrobats/en1001615.mp3
159,acronym,/ˈækrənɪm/,data/raw/phonemeref_data/audio/acronym/en000921.mp3
160,across,/əˈkrɒs/,data/raw/phonemeref_data/audio/across/en000930.mp3
161,acrylic,/æˈkrɪlɪk/,data/raw/phonemeref_data/audio/acrylic/en1001620.mp3
162,act,/ˈækt/,data/raw/phonemeref_data/audio/act/en000947.mp3
163,acting,/ˈæktɪŋ/,data/raw/phonemeref_data/audio/acting/en000953.mp3
164,action,/ˈækʃən/,data/raw/phonemeref_data/audio/action/en000969.mp3
165,actions,/ˈækʃən/,data/raw/phonemeref_data/audio/actions/en000969.mp3
166,activates,/ˈæktɪveɪt/,data/raw/phonemeref_data/audio/activates/en1001651.mp3
167,activation,/ˌæktɪˈveɪʃən/,data/raw/phonemeref_data/audio/activation/en1001660.mp3
168,active,/ˈæktɪv/,data/raw/phonemeref_data/audio/active/en000979.mp3
169,actively,/ˈæktɪvli/,data/raw/phonemeref_data/audio/actively/en000985.mp3
170,activists,/ˈæktɪvɪst/,data/raw/phonemeref_data/audio/activists/en1001673.mp3
171,activity,/ækˈtɪvɪti/,data/raw/phonemeref_data/audio/activity/en000994.mp3
172,actor,/ˈæktər/,data/raw/phonemeref_data/audio/actor/en001000.mp3
173,actors,/ˈæktər/,data/raw/phonemeref_data/audio/actors/en001000.mp3
174,actress,/ˈæktrəs/,data/raw/phonemeref_data/audio/actress/en001018.mp3
175,acts,/ˈækt/,data/raw/phonemeref_data/audio/acts/en000947.mp3
176,actual,/ˈæktʃuəl/,data/raw/phonemeref_data/audio/actual/en001024.mp3
177,actuality,/ˌæktʃuˈælɪti/,data/raw/phonemeref_data/audio/actuality/en1001686.mp3
178,actually,/ˈæktʃuəli/,data/raw/phonemeref_data/audio/actually/en001036.mp3
179,acumen,/ˈækjʊmən/,data/raw/phonemeref_data/audio/acumen/en001045.mp3
180,acute,/əˈkjuːt/,data/raw/phonemeref_data/audio/acute/en001056.mp3
181,acutely,/əˈkjuːtli/,data/raw/phonemeref_data/audio/acutely/en001064.mp3
182,ad,/ˌeɪˈdiː/,data/raw/phonemeref_data/audio/ad/en001079.mp3
183,adage,/ˈædɪdʒ/,data/raw/phonemeref_data/audio/adage/en1001731.mp3
184,adamant,/ˈædəmənt/,data/raw/phonemeref_data/audio/adamant/en001101.mp3
185,adapt,/əˈdæpt/,data/raw/phonemeref_data/audio/adapt/en001117.mp3
186,adaptable,/əˈdæptəbəl/,data/raw/phonemeref_data/audio/adaptable/en1001745.mp3
187,adaptations,/ˌædæpˈteɪʃən/,data/raw/phonemeref_data/audio/adaptations/en1001758.mp3
188,adapter,/əˈdæptər/,data/raw/phonemeref_data/audio/adapter/en1001765.mp3
189,adapters,/əˈdæptər/,data/raw/phonemeref_data/audio/adapters/en1001765.mp3
190,added,/ˈædɪd/,data/raw/phonemeref_data/audio/added/en001140.mp3
191,adder,/ˈædər/,data/raw/phonemeref_data/audio/adder/en1001822.mp3
192,adders,/ˈædər/,data/raw/phonemeref_data/audio/adders/en1001822.mp3
193,addict,/ˈædɪkt/,data/raw/phonemeref_data/audio/addict/en001161.mp3
194,addicted,/əˈdɪktɪd/,data/raw/phonemeref_data/audio/addicted/en001174.mp3
195,addiction,/əˈdɪkʃən/,data/raw/phonemeref_data/audio/addiction/en001186.mp3
196,addicts,/ˈædɪkt/,data/raw/phonemeref_data/audio/addicts/en001161.mp3
197,addition,/əˈdɪʃən/,data/raw/phonemeref_data/audio/addition/en001193.mp3
198,additional,/əˈdɪʃənəl/,data/raw/phonemeref_data/audio/additional/en001200.mp3
199,additionally,/əˈdɪʃənəli/,data/raw/phonemeref_data/audio/additionally/en001215.mp3
200,additions,/əˈdɪʃən/,data/raw/phonemeref_data/audio/additions/en001193.mp3
201,additive,/ˈædɪtɪv/,data/raw/phonemeref_data/audio/additive/en1001845.mp3
202,additives,/ˈædɪtɪv/,data/raw/phonemeref_data/audio/additives/en1001845.mp3
203,address,/əˈdrɛs/,data/raw/phonemeref_data/audio/address/en001228.mp3
204,adds,/ˌeɪdiːˈdiː/,data/raw/phonemeref_data/audio/adds/en001129.mp3
205,adequacy,/ˈædɪkwəsɪ/,data/raw/phonemeref_data/audio/adequacy/en001269.mp3
206,adequate,/ˈædɪkwət/,data/raw/phonemeref_data/audio/adequate/en001279.mp3
207,adequately,/ˈædɪkwətli/,data/raw/phonemeref_data/audio/adequately/en1001858.mp3
208,adhere,/ədˈhɪər/,data/raw/phonemeref_data/audio/adhere/en001287.mp3
209,adherence,/ədˈhɪərəns/,data/raw/phonemeref_data/audio/adherence/en1001864.mp3
210,adherent,/ədˈhɪərənt/,data/raw/phonemeref_data/audio/adherent/en1001877.mp3
211,adherents,/ədˈhɪərənt/,data/raw/phonemeref_data/audio/adherents/en1001877.mp3
212,adheres,/ədˈhɪər/,data/raw/phonemeref_data/audio/adheres/en001287.mp3
213,adhesion,/ədˈhiːʒən/,data/raw/phonemeref_data/audio/adhesion/en1001889.mp3
214,adhesive,/ədˈhiːsɪv/,data/raw/phonemeref_data/audio/adhesive/en1001891.mp3
215,adhesives,/ədˈhiːsɪv/,data/raw/phonemeref_data/audio/adhesives/en1001891.mp3
216,adjacent,/əˈdʒeɪsənt/,data/raw/phonemeref_data/audio/adjacent/en001293.mp3
217,adjective,/ˈædʒɪktɪv/,data/raw/phonemeref_data/audio/adjective/en001307.mp3
218,adjectives,/ˈædʒɪktɪv/,data/raw/phonemeref_data/audio/adjectives/en001307.mp3
219,adjoining,/əˈdʒɔɪnɪŋ/,data/raw/phonemeref_data/audio/adjoining/en001317.mp3
220,adjournment,/əˈdʒɜːrnmənt/,data/raw/phonemeref_data/audio/adjournment/en1001901.mp3
221,adjourns,/əˈdʒɜːrn/,data/raw/phonemeref_data/audio/adjourns/en001323.mp3
222,adjudication,/əˌdʒuːdɪˈkeɪʃən/,data/raw/phonemeref_data/audio/adjudication/en1001924.mp3
223,adjuncts,/ˈædʒʌŋkt/,data/raw/phonemeref_data/audio/adjuncts/en1001934.mp3
224,adjustable,/əˈdʒʌstəbəl/,data/raw/phonemeref_data/audio/adjustable/en1001949.mp3
225,adjustment,/əˈdʒʌstmənt/,data/raw/phonemeref_data/audio/adjustment/en001343.mp3
226,adjustments,/əˈdʒʌstmənt/,data/raw/phonemeref_data/audio/adjustments/en001343.mp3
227,adjusts,/əˈdʒʌst/,data/raw/phonemeref_data/audio/adjusts/en001330.mp3
228,admin,/ˈædmɪn/,data/raw/phonemeref_data/audio/admin/en1001969.mp3
229,administers,/ədˈmɪnɪstər/,data/raw/phonemeref_data/audio/administers/en001350.mp3
230,administration,/ədˌmɪnɪˈstreɪʃən/,data/raw/phonemeref_data/audio/administration/en001369.mp3
231,administrations,/ədˌmɪnɪˈstreɪʃən/,data/raw/phonemeref_data/audio/administrations/en001369.mp3
232,administrative,/ədˈmɪnɪstrətɪv/,data/raw/phonemeref_data/audio/administrative/en001377.mp3
233,administrator,/ədˈmɪnɪstreɪtər/,data/raw/phonemeref_data/audio/administrator/en001383.mp3
234,administrators,/ədˈmɪnɪstreɪtər/,data/raw/phonemeref_data/audio/administrators/en001383.mp3
235,admirable,/ˈædmɪrəbəl/,data/raw/phonemeref_data/audio/admirable/en1001973.mp3
236,admirals,/ˈædmərəl/,data/raw/phonemeref_data/audio/admirals/en1001986.mp3
237,admiration,/ˌædmɪˈreɪʃən/,data/raw/phonemeref_data/audio/admiration/en1001994.mp3
238,admirer,/ədˈmaɪərər/,data/raw/phonemeref_data/audio/admirer/en1002003.mp3
239,admirers,/ədˈmaɪərər/,data/raw/phonemeref_data/audio/admirers/en1002003.mp3
240,admires,/ədˈmaɪər/,data/raw/phonemeref_data/audio/admires/en001393.mp3
241,admiring,/ədˈmaɪərɪŋ/,data/raw/phonemeref_data/audio/admiring/en1002014.mp3
242,admission,/ədˈmɪʃən/,data/raw/phonemeref_data/audio/admission/en001408.mp3
243,admissions,/ədˈmɪʃən/,data/raw/phonemeref_data/audio/admissions/en001408.mp3
244,admits,/ədˈmɪt/,data/raw/phonemeref_data/audio/admits/en001412.mp3
245,admittance,/ədˈmɪtəns/,data/raw/phonemeref_data/audio/admittance/en1002029.mp3
246,admittedly,/ədˈmɪtɪdli/,data/raw/phonemeref_data/audio/admittedly/en1002035.mp3
247,admonition,/ˌædməʊˈnɪʃən/,data/raw/phonemeref_data/audio/admonition/en1002068.mp3
248,admonitions,/ˌædməʊˈnɪʃən/,data/raw/phonemeref_data/audio/admonitions/en1002068.mp3
249,ado,/əˈduː/,data/raw/phonemeref_data/audio/ado/en1002073.mp3
250,adobe,/əˈdəʊbi/,data/raw/phonemeref_data/audio/adobe/en1002082.mp3
251,adolescence,/ˌædəˈlɛsəns/,data/raw/phonemeref_data/audio/adolescence/en1002097.mp3
252,adolescent,/ˌædəˈlɛsənt/,data/raw/phonemeref_data/audio/adolescent/en1002108.mp3
253,adolescents,/ˌædəˈlɛsənt/,data/raw/phonemeref_data/audio/adolescents/en1002108.mp3
254,adopted,/əˈdɒptɪd/,data/raw/phonemeref_data/audio/adopted/en001435.mp3
255,adoption,/əˈdɒpʃən/,data/raw/phonemeref_data/audio/adoption/en1002119.mp3
256,adopts,/əˈdɒpt/,data/raw/phonemeref_data/audio/adopts/en001422.mp3
257,adorable,/əˈdɔːrəbəl/,data/raw/phonemeref_data/audio/adorable/en001445.mp3
258,adores,/əˈdɔːr/,data/raw/phonemeref_data/audio/adores/en001452.mp3
259,adorns,/əˈdɔːrn/,data/raw/phonemeref_data/audio/adorns/en1002122.mp3
260,adrift,/əˈdrɪft/,data/raw/phonemeref_data/audio/adrift/en1002148.mp3
261,adroit,/əˈdrɔɪt/,data/raw/phonemeref_data/audio/adroit/en1002155.mp3
262,adult,/ˈædʌlt/,data/raw/phonemeref_data/audio/adult/en001467.mp3
263,adultery,/əˈdʌltəri/,data/raw/phonemeref_data/audio/adultery/en1002160.mp3
264,adulthood,/ˈædʌlthʊd/,data/raw/phonemeref_data/audio/adulthood/en001477.mp3
265,adults,/ˈædʌlt/,data/raw/phonemeref_data/audio/adults/en001467.mp3
266,advanced,/ədˈvɑːnst/,data/raw/phonemeref_data/audio/advanced/en001499.mp3
267,advancement,/ədˈvɑːnsmənt/,data/raw/phonemeref_data/audio/advancement/en001504.mp3
268,advancements,/ədˈvɑːnsmənt/,data/raw/phonemeref_data/audio/advancements/en001504.mp3
269,advantage,/ədˈvɑːntɪdʒ/,data/raw/phonemeref_data/audio/advantage/en001514.mp3
270,advantageous,/ˌædvənˈteɪdʒəs/,data/raw/phonemeref_data/audio/advantageous/en1002170.mp3
271,advantages,/ədˈvɑːntɪdʒ/,data/raw/phonemeref_data/audio/advantages/en001514.mp3
272,Advent,/ˈædvɛnt/,data/raw/phonemeref_data/audio/Advent/en001536.mp3
273,adventure,/ədˈvɛntʃər/,data/raw/phonemeref_data/audio/adventure/en001545.mp3
274,adventurer,/ədˈvɛntʃərər/,data/raw/phonemeref_data/audio/adventurer/en1002191.mp3
275,adventurers,/ədˈvɛntʃərər/,data/raw/phonemeref_data/audio/adventurers/en1002191.mp3
276,adventures,/ədˈvɛntʃər/,data/raw/phonemeref_data/audio/adventures/en001545.mp3
277,adventurous,/ədˈvɛntʃərəs/,data/raw/phonemeref_data/audio/adventurous/en001550.mp3
278,adverb,/ˈædvɜːrb/,data/raw/phonemeref_data/audio/adverb/en1002203.mp3
279,adverbs,/ˈædvɜːrb/,data/raw/phonemeref_data/audio/adverbs/en1002203.mp3
280,adversary,/ˈædvərsəri/,data/raw/phonemeref_data/audio/adversary/en1002225.mp3
281,adverse,/ˈædvɜːrs/,data/raw/phonemeref_data/audio/adverse/en001564.mp3
282,adversity,/ədˈvɜːrsɪti/,data/raw/phonemeref_data/audio/adversity/en1002238.mp3
283,advert,/ˈædvɜːrt/,data/raw/phonemeref_data/audio/advert/en001570.mp3
284,advertisement,/ədˈvɜːrtɪsmənt/,data/raw/phonemeref_data/audio/advertisement/en001592.mp3
285,advertisements,/ədˈvɜːrtɪsmənt/,data/raw/phonemeref_data/audio/advertisements/en001592.mp3
286,advertiser,/ˈædvərtaɪzər/,data/raw/phonemeref_data/audio/advertiser/en1002242.mp3
287,advertisers,/ˈædvərtaɪzər/,data/raw/phonemeref_data/audio/advertisers/en1002242.mp3
288,advertising,/ˈædvərˌtaɪzɪŋ/,data/raw/phonemeref_data/audio/advertising/en001600.mp3
