id,word,ipa,ipa_clean,audio_path,source,score,age
speechocean_train_22,WE LESS MEAT,wilɛsmit,wilɛsmit,data\speechocean\audio\so_train_00022.wav,speechocean762,9,6
speechocean_train_23,JIM LIKES YOUR BLUE SHORE,dʒɪmlaɪksjɜrbluʃɔr,dʒɪmlaɪksjɜrbluʃɔr,data\speechocean\audio\so_train_00023.wav,speechocean762,8,6
speechocean_train_24,ANNIE WENT WALKING THEM PARK,ænɪwɛntwɔkɪŋðɛmpɑrk,ænɪwɛntwɔkɪŋðɛmpɑrk,data\speechocean\audio\so_train_00024.wav,speechocean762,8,6
speechocean_train_25,ALL WITH HIM,ɔlwɪθhɪm,ɔlwɪθhɪm,data\speechocean\audio\so_train_00025.wav,speechocean762,8,6
speechocean_train_26,GOOD JOB,gʊddʒɑb,gʊddʒɑb,data\speechocean\audio\so_train_00026.wav,speechocean762,9,6
speechocean_train_27,JAYME IS GOING TO SEE HEN,dʒeɪmiɪzgoʊɪŋtusihɛn,dʒeɪmiɪzgoʊɪŋtusihɛn,data\speechocean\audio\so_train_00027.wav,speechocean762,9,6
speechocean_train_28,DORA IS COME FROM JAPAN,dɔrəɪzkəmfrəmdʒəpæn,dɔrəɪzkəmfrəmdʒəpæn,data\speechocean\audio\so_train_00028.wav,speechocean762,9,6
speechocean_train_29,SIX ONE SIX ZERO,sɪkswənsɪkszɪroʊ,sɪkswənsɪkszɪroʊ,data\speechocean\audio\so_train_00029.wav,speechocean762,9,6
speechocean_train_30,FIVE TWO FOUR SEVEN,faɪvtufɔrsɛvn,faɪvtufɔrsɛvn,data\speechocean\audio\so_train_00030.wav,speechocean762,9,6
speechocean_train_31,ZERO THREE FIVE,zɪroʊθrifaɪv,zɪroʊθrifaɪv,data\speechocean\audio\so_train_00031.wav,speechocean762,8,6
speechocean_train_32,PHONE PARTS TICKETS,foʊnpɑrtstɪkɪts,foʊnpɑrtstɪkɪts,data\speechocean\audio\so_train_00032.wav,speechocean762,10,6
speechocean_train_33,ANN ATE A LITTLE DOG,æneɪtəlɪtldɔg,æneɪtəlɪtldɔg,data\speechocean\audio\so_train_00033.wav,speechocean762,9,6
speechocean_train_34,DOES LAYLA LIKE THE JAM,dəzleɪlɑlaɪkðədʒæm,dəzleɪlɑlaɪkðədʒæm,data\speechocean\audio\so_train_00034.wav,speechocean762,10,6
speechocean_train_35,KATE LIKES LAMB,kɛtlaɪkslæm,kɛtlaɪkslæm,data\speechocean\audio\so_train_00035.wav,speechocean762,9,6
speechocean_train_36,MARK GOT SOME NOODLES,mɑrkgɑtsəmnudlz,mɑrkgɑtsəmnudlz,data\speechocean\audio\so_train_00036.wav,speechocean762,10,6
speechocean_train_37,TOM LIKES THE OLD SWEATER,tɑmlaɪksðəoʊldswɛtɜr,tɑmlaɪksðəoʊldswɛtɜr,data\speechocean\audio\so_train_00037.wav,speechocean762,10,6
speechocean_train_38,BOB NEEDS NEW BOOTS,bɑbnidznubuts,bɑbnidznubuts,data\speechocean\audio\so_train_00038.wav,speechocean762,10,6
speechocean_train_39,TOM CAN SEE THE MOTOR CYCLE,tɑmkænsiðəmoʊtɜrsaɪkl,tɑmkænsiðəmoʊtɜrsaɪkl,data\speechocean\audio\so_train_00039.wav,speechocean762,10,6
speechocean_train_40,HE LEFT THE FRUIT STAND,hilɛftðəfrutstænd,hilɛftðəfrutstænd,data\speechocean\audio\so_train_00040.wav,speechocean762,10,6
speechocean_train_41,LET'S GO TO THE GYM,lɛtsgoʊtuðədʒɪm,lɛtsgoʊtuðədʒɪm,data\speechocean\audio\so_train_00041.wav,speechocean762,10,6
speechocean_train_42,SO MARK WHEN TO THE PET SHOP,soʊmɑrkwɛntuðəpɛtʃɑp,soʊmɑrkwɛntuðəpɛtʃɑp,data\speechocean\audio\so_train_00042.wav,speechocean762,10,6
speechocean_train_43,SO ALICE WENT ON TO VILLAGE,soʊælɪswɛntɑntuvɪlɪdʒ,soʊælɪswɛntɑntuvɪlɪdʒ,data\speechocean\audio\so_train_00043.wav,speechocean762,9,6
speechocean_train_44,NO THAT'S TOMATO,noʊðætstəmeɪtoʊ,noʊðætstəmeɪtoʊ,data\speechocean\audio\so_train_00044.wav,speechocean762,10,6
speechocean_train_45,I'M NOT A ACTOR,aɪmnɑtəæktɜr,aɪmnɑtəæktɜr,data\speechocean\audio\so_train_00045.wav,speechocean762,9,6
speechocean_train_46,WHAT LOVELY CLEAN TEETH,wətlʌvliklintiθ,wətlʌvliklintiθ,data\speechocean\audio\so_train_00046.wav,speechocean762,9,6
speechocean_train_47,ANDY CAN SEE THE HEN,ændɪkænsiðəhɛn,ændɪkænsiðəhɛn,data\speechocean\audio\so_train_00047.wav,speechocean762,8,6
speechocean_train_48,JOHN IS GOING TO SEE COW,dʒənɪzgoʊɪŋtusikaʊ,dʒənɪzgoʊɪŋtusikaʊ,data\speechocean\audio\so_train_00048.wav,speechocean762,9,6
speechocean_train_49,ONE ONE ZERO EIGHT,wənwənzɪɜroʊeɪt,wənwənzɪɜroʊeɪt,data\speechocean\audio\so_train_00049.wav,speechocean762,8,6
speechocean_train_50,THREE ONE SEVEN NINE,θriwənsɛvnnaɪn,θriwənsɛvnnaɪn,data\speechocean\audio\so_train_00050.wav,speechocean762,9,6
speechocean_train_51,EIGHT ZERO SIX TWO,eɪtzɪɜroʊsɪkstu,eɪtzɪɜroʊsɪkstu,data\speechocean\audio\so_train_00051.wav,speechocean762,9,6
speechocean_train_52,THREE ZERO EIGHT SEVEN,θrizɪɜroʊeɪtsɛvn,θrizɪɜroʊeɪtsɛvn,data\speechocean\audio\so_train_00052.wav,speechocean762,9,6
speechocean_train_53,ZERO EIGHT THREE ONE,zɪɜroʊeɪtθriwən,zɪɜroʊeɪtθriwən,data\speechocean\audio\so_train_00053.wav,speechocean762,9,6
speechocean_train_54,SIX EIGHT SIX SEVEN,sɪkseɪtsɪkssɛvn,sɪkseɪtsɪkssɛvn,data\speechocean\audio\so_train_00054.wav,speechocean762,10,6
speechocean_train_55,HE LIKES RACING,hilaɪksreɪsɪŋ,hilaɪksreɪsɪŋ,data\speechocean\audio\so_train_00055.wav,speechocean762,9,6
speechocean_train_56,DORA LIKES YOUR RED JEANS,dɔrəlaɪksjʊərɛddʒinz,dɔrəlaɪksjʊərɛddʒinz,data\speechocean\audio\so_train_00056.wav,speechocean762,8,6
speechocean_train_57,BOB LOVES THE NEW CLOTH,bəbləvzðənjukləθ,bəbləvzðənjukləθ,data\speechocean\audio\so_train_00057.wav,speechocean762,8,6
speechocean_train_58,JOHN NEEDS NEW T SHIRT,dʒənnidznjutiʃɜrt,dʒənnidznjutiʃɜrt,data\speechocean\audio\so_train_00058.wav,speechocean762,9,6
speechocean_train_59,THEN LILLY WALKS TO MUSIC ROOM,ðɛnlɪliwɔkstumjuzɪkrʊm,ðɛnlɪliwɔkstumjuzɪkrʊm,data\speechocean\audio\so_train_00059.wav,speechocean762,9,6
speechocean_train_60,THEN TIM WALKS TO THEM PARK,ðɛntɪmwɔkstuðɛmpɑrk,ðɛntɪmwɔkstuðɛmpɑrk,data\speechocean\audio\so_train_00060.wav,speechocean762,9,6
speechocean_train_61,THEN MANDY WALKS TO RESTROOM,ðɛnmændiwɔksturɛstrʊm,ðɛnmændiwɔksturɛstrʊm,data\speechocean\audio\so_train_00061.wav,speechocean762,9,6
speechocean_train_62,DO YOU WANT THE PEA,dʊjuwɑntðəpi,dʊjuwɑntðəpi,data\speechocean\audio\so_train_00062.wav,speechocean762,9,6
speechocean_train_63,ANDY GOT THE MUSHROOM,ændɪgətðəmʌʃrʊm,ændɪgətðəmʌʃrʊm,data\speechocean\audio\so_train_00063.wav,speechocean762,10,6
speechocean_train_64,NOW FOR THE PARTY,naʊfɔrðəpɑrti,naʊfɔrðəpɑrti,data\speechocean\audio\so_train_00064.wav,speechocean762,9,6
speechocean_train_65,IT'S JUST SO HARD TO PICTURE,ɪtsdʒəstsoʊhɑrdtupɪktʃɜr,ɪtsdʒəstsoʊhɑrdtupɪktʃɜr,data\speechocean\audio\so_train_00065.wav,speechocean762,9,21
speechocean_train_66,WE SPEAK OUT WHEN WE FEEL WE SHOULD SPEAK OUT,wispikaʊtwɛnwifilwiʃʊdspikaʊt,wispikaʊtwɛnwifilwiʃʊdspikaʊt,data\speechocean\audio\so_train_00066.wav,speechocean762,9,21
speechocean_train_67,I COULD DO WITH A BREAK,aɪkʊddʊwɪðəbreɪk,aɪkʊddʊwɪðəbreɪk,data\speechocean\audio\so_train_00067.wav,speechocean762,9,21
speechocean_train_68,IT IS ALWAYS SO NICE TO SEE YOU,ɪtɪzɔlweɪzsoʊnaɪstusiju,ɪtɪzɔlweɪzsoʊnaɪstusiju,data\speechocean\audio\so_train_00068.wav,speechocean762,9,21
speechocean_train_69,UNFORTUNATELY NO ONE IS ALLOW TO SAY,ənfɔtʃənətlinoʊwənɪzəlaʊtuseɪ,ənfɔtʃənətlinoʊwənɪzəlaʊtuseɪ,data\speechocean\audio\so_train_00069.wav,speechocean762,8,21
speechocean_train_70,SO YOU WANT TO BE MORE PRODUCTIVE,soʊjuwɑnttubimɔprədʌktɪv,soʊjuwɑnttubimɔprədʌktɪv,data\speechocean\audio\so_train_00070.wav,speechocean762,9,21
speechocean_train_71,STARTING CAN NOT BE BETTER THAN THIS,stɑrtɪŋkænnətbibɛtɜrðænðɪs,stɑrtɪŋkænnətbibɛtɜrðænðɪs,data\speechocean\audio\so_train_00071.wav,speechocean762,9,21
speechocean_train_72,AFTER THAT I BE READY TO GO,ɑftəðætaɪbirɛditugoʊ,ɑftəðætaɪbirɛditugoʊ,data\speechocean\audio\so_train_00072.wav,speechocean762,8,21
speechocean_train_73,OFF THE CHAIN I BET,əfðətʃeɪnaɪbɛt,əfðətʃeɪnaɪbɛt,data\speechocean\audio\so_train_00073.wav,speechocean762,8,21
speechocean_train_74,HE NODDED HIS HEAD AND SMILED,hinʌdɪdhɪzhɛdændsmaɪld,hinʌdɪdhɪzhɛdændsmaɪld,data\speechocean\audio\so_train_00074.wav,speechocean762,8,21
speechocean_train_75,BUT TELL ME THE TRUTH,bəttɛlmiðətruθ,bəttɛlmiðətruθ,data\speechocean\audio\so_train_00075.wav,speechocean762,9,21
speechocean_train_76,THE FIRST QUESTION WAS AN OBVIOUS ONE,ðəfɜrstkwɛstʃənwəzænʌbvɪəswən,ðəfɜrstkwɛstʃənwəzænʌbvɪəswən,data\speechocean\audio\so_train_00076.wav,speechocean762,9,21
speechocean_train_77,THE SHOCK WAS TOO MUCH FOR HIM,ðəʃəkwəztumətʃfɔhɪm,ðəʃəkwəztumətʃfɔhɪm,data\speechocean\audio\so_train_00077.wav,speechocean762,9,21
speechocean_train_78,HE KNOWS HE'S ABOUT TO GET INTO FIGHT,hinoʊzhizəbaʊttugɛtɪntufaɪt,hinoʊzhizəbaʊttugɛtɪntufaɪt,data\speechocean\audio\so_train_00078.wav,speechocean762,8,21
speechocean_train_79,HE WAS ALWAYS READY TO DO ANYTHING WHATEVER,hiwəzɔlweɪzrɛditudʊɛniθɪŋwətɛvɜr,hiwəzɔlweɪzrɛditudʊɛniθɪŋwətɛvɜr,data\speechocean\audio\so_train_00079.wav,speechocean762,9,21
speechocean_train_80,YOU WANT TO BE LOVE,juwənttubiləv,juwənttubiləv,data\speechocean\audio\so_train_00080.wav,speechocean762,9,21
speechocean_train_81,IT'S NOT FISH,ɪtsnətfɪʃ,ɪtsnətfɪʃ,data\speechocean\audio\so_train_00081.wav,speechocean762,8,6
speechocean_train_82,LYNDA IS GOING TO SEE ELEPHANT,lɪndəɪzgoʊɪŋtusiɛlɪfənt,lɪndəɪzgoʊɪŋtusiɛlɪfənt,data\speechocean\audio\so_train_00082.wav,speechocean762,8,6
speechocean_train_83,MIKE LIKES THE ORANGE ONE,maɪklaɪksðəʌrɪndʒwən,maɪklaɪksðəʌrɪndʒwən,data\speechocean\audio\so_train_00083.wav,speechocean762,8,6
speechocean_train_84,ANN CAN WE HAVE THE PEACH,ænkænwihævðəpitʃ,ænkænwihævðəpitʃ,data\speechocean\audio\so_train_00084.wav,speechocean762,9,6
speechocean_train_85,LILLY CAN DRAW THE TIGER,lɪlikændrɔðətaɪgə,lɪlikændrɔðətaɪgə,data\speechocean\audio\so_train_00085.wav,speechocean762,8,6
speechocean_train_86,SIX FOUR FIVE SIX,sɪksfɔrfaɪvsɪks,sɪksfɔrfaɪvsɪks,data\speechocean\audio\so_train_00086.wav,speechocean762,9,6
speechocean_train_87,FOUR THREE FOUR TWO,fɔθrifɔtu,fɔθrifɔtu,data\speechocean\audio\so_train_00087.wav,speechocean762,9,6
speechocean_train_88,ONE NINE FOUR,wənnaɪnfɔr,wənnaɪnfɔr,data\speechocean\audio\so_train_00088.wav,speechocean762,9,6
speechocean_train_89,BOOTS MOUNTAINS TREES,butsmaʊntənstriz,butsmaʊntənstriz,data\speechocean\audio\so_train_00089.wav,speechocean762,9,6
speechocean_train_90,LAYLA WANTS HAVE SOME BISCUIT,leɪlɑwʌntshævsəmbɪskɪt,leɪlɑwʌntshævsəmbɪskɪt,data\speechocean\audio\so_train_00090.wav,speechocean762,8,6
speechocean_train_91,LIYA LIKES THE OLD SAFE,liəlaɪksðəoʊldseɪf,liəlaɪksðəoʊldseɪf,data\speechocean\audio\so_train_00091.wav,speechocean762,8,6
speechocean_train_92,MIKE CAN SEE THE TRAIN,maɪkkænsiðətreɪn,maɪkkænsiðətreɪn,data\speechocean\audio\so_train_00092.wav,speechocean762,8,6
speechocean_train_93,THEN TOM WALKS TO ART ROOM,ðɛntəmwɔkstuɑtrum,ðɛntəmwɔkstuɑtrum,data\speechocean\audio\so_train_00093.wav,speechocean762,8,6
speechocean_train_94,I WILL GO TO MEN,aɪwɪlgoʊtumɛn,aɪwɪlgoʊtumɛn,data\speechocean\audio\so_train_00094.wav,speechocean762,8,6
speechocean_train_95,WHERE DID THAT COME FROM,wɛrdɪdðætkəmfrəm,wɛrdɪdðætkəmfrəm,data\speechocean\audio\so_train_00095.wav,speechocean762,8,6
speechocean_train_96,I ONLY WANT ONE,aɪoʊnliwɑntwən,aɪoʊnliwɑntwən,data\speechocean\audio\so_train_00096.wav,speechocean762,8,6
speechocean_train_97,MIKE LOVE GARDEN,maɪkləvgɑdn,maɪkləvgɑdn,data\speechocean\audio\so_train_00097.wav,speechocean762,9,6
speechocean_train_98,MARK LOVE PORTER,mɑkləvpoʊtɜr,mɑkləvpoʊtɜr,data\speechocean\audio\so_train_00098.wav,speechocean762,8,6
speechocean_train_99,JAYME CAN SEE THE DOG,dʒeɪmikænsiðədɔg,dʒeɪmikænsiðədɔg,data\speechocean\audio\so_train_00099.wav,speechocean762,8,6
speechocean_train_100,BILLY IS GOING TO SEE FOX,bɪliɪzgoʊɪŋtusifəks,bɪliɪzgoʊɪŋtusifəks,data\speechocean\audio\so_train_00100.wav,speechocean762,8,6
speechocean_train_101,SIX EIGHT FOUR SIX,sɪkseɪtfɔsɪks,sɪkseɪtfɔsɪks,data\speechocean\audio\so_train_00101.wav,speechocean762,9,6
speechocean_train_102,FIVE FIVE NINE ONE,faɪvfaɪvnaɪnwən,faɪvfaɪvnaɪnwən,data\speechocean\audio\so_train_00102.wav,speechocean762,9,6
speechocean_train_103,QUICK PAST PHOTO,kwɪkpɑstfoʊtoʊ,kwɪkpɑstfoʊtoʊ,data\speechocean\audio\so_train_00103.wav,speechocean762,8,6
speechocean_train_104,SHANGHAI QUIRE TODAY ONCE TOMORROW,ʃæŋhaɪkwaɪətədeɪwənstəmʌroʊ,ʃæŋhaɪkwaɪətədeɪwənstəmʌroʊ,data\speechocean\audio\so_train_00104.wav,speechocean762,8,6
speechocean_train_105,PETER IS GOOD AT SKIN,pitəɪzgʊdætskɪn,pitəɪzgʊdætskɪn,data\speechocean\audio\so_train_00105.wav,speechocean762,9,6
speechocean_train_106,BILLY AT A LITTLE JAM,bɪliætəlɪtldʒæm,bɪliætəlɪtldʒæm,data\speechocean\audio\so_train_00106.wav,speechocean762,8,6
speechocean_train_107,LOOK AT BILLY'S FOOT,lʊkætbɪlisfʊt,lʊkætbɪlisfʊt,data\speechocean\audio\so_train_00107.wav,speechocean762,8,6
speechocean_train_108,MARY CAN SEE THE THIEF,mærɪkænsiðəθif,mærɪkænsiðəθif,data\speechocean\audio\so_train_00108.wav,speechocean762,8,6
speechocean_train_109,KATE WAS WALKING TO PARK,kɛtwəzwɔkɪŋtupɑk,kɛtwəzwɔkɪŋtupɑk,data\speechocean\audio\so_train_00109.wav,speechocean762,8,6
speechocean_train_110,SANDY WAS WALKING TO TURN PAR,sændiwəzwɔkɪŋtutɜrnpɑ,sændiwəzwɔkɪŋtutɜrnpɑ,data\speechocean\audio\so_train_00110.wav,speechocean762,8,6
speechocean_train_111,PETER IS DRAWING THE PASS,pitəɪzdrɔɪŋðəpæs,pitəɪzdrɔɪŋðəpæs,data\speechocean\audio\so_train_00111.wav,speechocean762,8,6
speechocean_train_112,NILA LOVES NEWS,nilələvznjuz,nilələvznjuz,data\speechocean\audio\so_train_00112.wav,speechocean762,8,6
speechocean_train_113,IT MUST BE HE,ɪtməstbihi,ɪtməstbihi,data\speechocean\audio\so_train_00113.wav,speechocean762,8,6
speechocean_train_114,I AM IN THE GLASS,aɪəmɪnðəglɑs,aɪəmɪnðəglɑs,data\speechocean\audio\so_train_00114.wav,speechocean762,8,6
speechocean_train_115,MARY IS GOING TO SEE MONKEY,mærɪɪzgoʊɪŋtusimʌŋki,mærɪɪzgoʊɪŋtusimʌŋki,data\speechocean\audio\so_train_00115.wav,speechocean762,8,6
speechocean_train_116,LUCY IS GOING TO SEE HORSE,lusiɪzgoʊɪŋtusihɔs,lusiɪzgoʊɪŋtusihɔs,data\speechocean\audio\so_train_00116.wav,speechocean762,8,6
speechocean_train_117,FIVE ONE SIX ONE,faɪvwənsɪkswən,faɪvwənsɪkswən,data\speechocean\audio\so_train_00117.wav,speechocean762,8,6
speechocean_train_118,I NEED NEW SHORTS,aɪnidnjuʃɔts,aɪnidnjuʃɔts,data\speechocean\audio\so_train_00118.wav,speechocean762,9,6
speechocean_train_119,JACK LIKES YOUR RED CUP,dʒæklaɪksjɔrɛdkəp,dʒæklaɪksjɔrɛdkəp,data\speechocean\audio\so_train_00119.wav,speechocean762,8,6
speechocean_train_120,TEDDY CAN SEE THE CAR,tɛdikænsiðəkɑr,tɛdikænsiðəkɑr,data\speechocean\audio\so_train_00120.wav,speechocean762,8,6
speechocean_train_121,THE NEW CAR,ðənjukɑr,ðənjukɑr,data\speechocean\audio\so_train_00121.wav,speechocean762,8,6
speechocean_train_122,ANYBODY CAN BANK BANK BANK,ɛnibədikænbæŋkbæŋkbæŋk,ɛnibədikænbæŋkbæŋkbæŋk,data\speechocean\audio\so_train_00122.wav,speechocean762,8,6
speechocean_train_123,LOOK HERE I CHUCK THIS,lʊkhɪəaɪtʃəkðɪs,lʊkhɪəaɪtʃəkðɪs,data\speechocean\audio\so_train_00123.wav,speechocean762,8,6
speechocean_train_124,KATE HAS NOT THE MANGO,keɪthæznətðəmæŋgoʊ,keɪthæznətðəmæŋgoʊ,data\speechocean\audio\so_train_00124.wav,speechocean762,8,6
speechocean_train_125,THANK YOU DEAR GOT,θæŋkjudɪəgət,θæŋkjudɪəgət,data\speechocean\audio\so_train_00125.wav,speechocean762,8,6
speechocean_train_126,LILLY IS GOING TO SEE PIG,lɪliɪzgoʊɪŋtusipɪg,lɪliɪzgoʊɪŋtusipɪg,data\speechocean\audio\so_train_00126.wav,speechocean762,8,6
speechocean_train_127,SEVEN THREE NINE FOUR,sɛvnθrinaɪnfɔ,sɛvnθrinaɪnfɔ,data\speechocean\audio\so_train_00127.wav,speechocean762,9,6
speechocean_train_128,THREE EIGHT ONE SEVEN,θrieɪtwənsɛvn,θrieɪtwənsɛvn,data\speechocean\audio\so_train_00128.wav,speechocean762,8,6
speechocean_train_129,NINE SEVEN FIVE FOUR,naɪnsɛvnfaɪvfɔ,naɪnsɛvnfaɪvfɔ,data\speechocean\audio\so_train_00129.wav,speechocean762,8,6
speechocean_train_130,TWO TWO NINE ONE,tutunaɪnwən,tutunaɪnwən,data\speechocean\audio\so_train_00130.wav,speechocean762,8,6
speechocean_train_131,EIGHT FIVE FIVE SEVEN,eɪtfaɪvfaɪvsɛvn,eɪtfaɪvfaɪvsɛvn,data\speechocean\audio\so_train_00131.wav,speechocean762,8,6
speechocean_train_132,JOHN LIKES RICE,dʒənlaɪksraɪs,dʒənlaɪksraɪs,data\speechocean\audio\so_train_00132.wav,speechocean762,9,6
speechocean_train_133,LISA CAN SEE THE YET,lisəkænsiðəjɛt,lisəkænsiðəjɛt,data\speechocean\audio\so_train_00133.wav,speechocean762,8,6
speechocean_train_134,LISA CAN SEE THE CLASSROOM,lisəkænsiðəklɑsrʊm,lisəkænsiðəklɑsrʊm,data\speechocean\audio\so_train_00134.wav,speechocean762,8,6
speechocean_train_135,MANDY WANTS WALKING TO BEDROOM,mændiwʌntswɔkɪŋtubɛdrʊm,mændiwʌntswɔkɪŋtubɛdrʊm,data\speechocean\audio\so_train_00135.wav,speechocean762,9,6
speechocean_train_136,DAD GOES THE CARROT,dædgoʊzðəkærət,dædgoʊzðəkærət,data\speechocean\audio\so_train_00136.wav,speechocean762,8,6
speechocean_train_137,YOU ARE MOST WELCOME,juɜrmoʊstwɛlkəm,juɜrmoʊstwɛlkəm,data\speechocean\audio\so_train_00137.wav,speechocean762,9,6
speechocean_train_138,WHAT'S HER NAME,wətshɜrneɪm,wətshɜrneɪm,data\speechocean\audio\so_train_00138.wav,speechocean762,9,6
speechocean_train_139,BORN LIKES GREEN,bɔnlaɪksgrin,bɔnlaɪksgrin,data\speechocean\audio\so_train_00139.wav,speechocean762,8,6
speechocean_train_140,TOM IS GOING TO SEE COW,təmɪzgoʊɪŋtusikaʊ,təmɪzgoʊɪŋtusikaʊ,data\speechocean\audio\so_train_00140.wav,speechocean762,8,6
speechocean_train_141,ANDY LOVES FRANCE,ændɪləvzfræns,ændɪləvzfræns,data\speechocean\audio\so_train_00141.wav,speechocean762,8,6
speechocean_train_142,FIVE SEVEN SIX SIX,faɪvsɛvnsɪkssɪks,faɪvsɛvnsɪkssɪks,data\speechocean\audio\so_train_00142.wav,speechocean762,9,6
speechocean_train_143,AND LIKES HAMBURGER,ændlaɪkshæmbɜrgə,ændlaɪkshæmbɜrgə,data\speechocean\audio\so_train_00143.wav,speechocean762,8,6
speechocean_train_144,JOHN HOT SOME MEAT,dʒənhətsəmmit,dʒənhətsəmmit,data\speechocean\audio\so_train_00144.wav,speechocean762,8,6
speechocean_train_145,MARK HAS A BEAUTIFUL SHORTS,mɑkhæzəbjutɪflʃɔts,mɑkhæzəbjutɪflʃɔts,data\speechocean\audio\so_train_00145.wav,speechocean762,9,6
speechocean_train_146,LOOK AT JOHN'S COAT,lʊkætdʒənskoʊt,lʊkætdʒənskoʊt,data\speechocean\audio\so_train_00146.wav,speechocean762,8,6
speechocean_train_147,LAYLA CAN SEE THE BUS,leɪlɑkænsiðəbəs,leɪlɑkænsiðəbəs,data\speechocean\audio\so_train_00147.wav,speechocean762,8,6
speechocean_train_148,THE PLANE IS NEAR,ðəpleɪnɪznɪə,ðəpleɪnɪznɪə,data\speechocean\audio\so_train_00148.wav,speechocean762,8,6
speechocean_train_149,BILLY WAS WALKING TO FARM,bɪliwəzwɔkɪŋtufɑm,bɪliwəzwɔkɪŋtufɑm,data\speechocean\audio\so_train_00149.wav,speechocean762,8,6
speechocean_train_150,MARY IS NOT SINGER,mærɪɪznətsɪŋə,mærɪɪznətsɪŋə,data\speechocean\audio\so_train_00150.wav,speechocean762,8,6
speechocean_train_151,TIM LIVES IN MOST ROOM NOW,tɪmlɪvzɪnmoʊstrʊmnaʊ,tɪmlɪvzɪnmoʊstrʊmnaʊ,data\speechocean\audio\so_train_00151.wav,speechocean762,8,6
