id,word,ipa,audio_path,split,ipa_clean
40,politicians,/ˌpɒlɪˈtɪʃən/,audio/politicians/en065206.mp3,train,ˌpɒlɪˈtɪʃən
41,delicious,/dɪˈlɪʃəs/,audio/delicious/en023427.mp3,train,dɪˈlɪʃəs
42,emerald,/ˈɛmərəld/,audio/emerald/en1029109.mp3,train,ˈɛmərəld
43,whale,/ˈhweɪl/,audio/whale/en097562.mp3,train,ˈhweɪl
44,instructional,/ɪnˈstrʌkʃənəl/,audio/instructional/en1047147.mp3,train,ɪnˈstrʌkʃənəl
45,mike,/ˈmaɪk/,audio/mike/en1056179.mp3,train,ˈmaɪk
46,bra,/ˈbrɑː/,audio/bra/en010045.mp3,train,ˈbrɑː
47,bronze,/ˈbrɒnz/,audio/bronze/en011004.mp3,train,ˈbrɒnz
48,nodes,/ˈnəʊd/,audio/nodes/en1059504.mp3,train,ˈnəʊd
49,enables,/ɪnˈeɪbəl/,audio/enables/en029480.mp3,train,ɪnˈeɪbəl
50,percentage,/pərˈsɛntɪdʒ/,audio/percentage/en063073.mp3,train,pərˈsɛntɪdʒ
51,card,/ˈkɑːrd/,audio/card/en012889.mp3,train,ˈkɑːrd
52,negotiation,/nɪˌgəʊʃiˈeɪʃən/,audio/negotiation/en1058964.mp3,train,nɪˌgəʊʃiˈeɪʃən
53,creates,/kriˈeɪt/,audio/creates/en020712.mp3,train,kriˈeɪt
54,norway,/ˈnɔːrweɪ/,audio/norway/en058604.mp3,train,ˈnɔːrweɪ
55,supposed,/səˈpəʊzd/,audio/supposed/en086572.mp3,train,səˈpəʊzd
56,helmet,/ˈhɛlmɪt/,audio/helmet/en042689.mp3,train,ˈhɛlmɪt
57,induction,/ɪnˈdʌkʃən/,audio/induction/en045978.mp3,train,ɪnˈdʌkʃən
58,coding,/ˈkəʊdɪŋ/,audio/coding/en1016679.mp3,train,ˈkəʊdɪŋ
59,heading,/ˈhɛdɪŋ/,audio/heading/en042188.mp3,train,ˈhɛdɪŋ
60,farmer,/ˈfɑːmə/,audio/farmer/en032935.mp3,train,ˈfɑːmə
61,budgets,/ˈbʌdʒɪt/,audio/budgets/en011362.mp3,train,ˈbʌdʒɪt
62,rides,/ˈraɪd/,audio/rides/en073315.mp3,train,ˈraɪd
63,college,/ˈkɒlɪdʒ/,audio/college/en016682.mp3,train,ˈkɒlɪdʒ
64,stack,/ˈstæk/,audio/stack/en083227.mp3,train,ˈstæk
65,priest,/ˈpriːst/,audio/priest/en066695.mp3,train,ˈpriːst
66,ripe,/ˈraɪp/,audio/ripe/en073530.mp3,train,ˈraɪp
67,colon,/ˈkəʊlən/,audio/colon/en016712.mp3,train,ˈkəʊlən
68,usual,/ˈjuːʒuəl/,audio/usual/en094800.mp3,train,ˈjuːʒuəl
69,christ,/ˈkraɪst/,audio/christ/en1015405.mp3,train,ˈkraɪst
70,communication,/kəˌmjuːnɪˈkeɪʃən/,audio/communication/en017276.mp3,train,kəˌmjuːnɪˈkeɪʃən
71,physically,/ˈfɪzɪkəli/,audio/physically/en063677.mp3,train,ˈfɪzɪkəli
72,amplifier,/ˈæmplɪfaɪər/,audio/amplifier/en1003690.mp3,train,ˈæmplɪfaɪər
73,love,/ˈlʌv/,audio/love/en052609.mp3,train,ˈlʌv
74,wine,/ˈwaɪn/,audio/wine/en098509.mp3,train,ˈwaɪn
75,allows,/əˈlaʊ/,audio/allows/en002617.mp3,train,əˈlaʊ
76,extras,/ˈɛkstrə/,audio/extras/en032140.mp3,train,ˈɛkstrə
77,nut,/ˌɛnjuːˈtiː/,audio/nut/en059042.mp3,train,ˌɛnjuːˈtiː
78,ban,/ˈbæn/,audio/ban/en006375.mp3,train,ˈbæn
79,filling,/ˈfɪlɪŋ/,audio/filling/en033976.mp3,train,ˈfɪlɪŋ
80,chances,/ˈtʃɑːns/,audio/chances/en013948.mp3,train,ˈtʃɑːns
81,two,/ˈtuː/,audio/two/en093040.mp3,train,ˈtuː
82,glance,/ˈglɑːns/,audio/glance/en038667.mp3,train,ˈglɑːns
83,finish,/ˈfɪnɪʃ/,audio/finish/en034147.mp3,train,ˈfɪnɪʃ
84,immigrants,/ˈɪmɪgrənt/,audio/immigrants/en045204.mp3,train,ˈɪmɪgrənt
85,examines,/ɪgˈzæmɪn/,audio/examines/en031296.mp3,train,ɪgˈzæmɪn
86,email,/ˈiːmeɪl/,audio/email/en029135.mp3,train,ˈiːmeɪl
87,somebody,/ˈsʌmbədi/,audio/somebody/en081405.mp3,train,ˈsʌmbədi
88,buildings,/ˈbɪldɪŋ/,audio/buildings/en011463.mp3,train,ˈbɪldɪŋ
89,obviously,/ˈɒbviəsli/,audio/obviously/en059310.mp3,train,ˈɒbviəsli
90,floor,/ˈflɔːr/,audio/floor/en035043.mp3,train,ˈflɔːr
91,lower,/ˈləʊər/,audio/lower/en052653.mp3,train,ˈləʊər
92,controller,/kənˈtrəʊlər/,audio/controller/en019176.mp3,train,kənˈtrəʊlər
93,washing,/ˈwɒʃɪŋ/,audio/washing/en096763.mp3,train,ˈwɒʃɪŋ
94,deals,/ˈdiːl/,audio/deals/en022675.mp3,train,ˈdiːl
95,vietnamese,/ˌvjɛtnəˈmiːz/,audio/vietnamese/en1096804.mp3,train,ˌvjɛtnəˈmiːz
96,wooden,/ˈwʊdən/,audio/wooden/en098965.mp3,train,ˈwʊdən
97,realistic,/ˌrɪəˈlɪstɪk/,audio/realistic/en069908.mp3,train,ˌrɪəˈlɪstɪk
98,proprietary,/prəˈpraɪətəri/,audio/proprietary/en067577.mp3,train,prəˈpraɪətəri
99,his,/ˈhɪz/,audio/his/en043358.mp3,train,ˈhɪz
100,breakdown,/ˈbreɪkdaʊn/,audio/breakdown/en010399.mp3,train,ˈbreɪkdaʊn
101,marina,/məˈriːnə/,audio/marina/en1054364.mp3,train,məˈriːnə
102,cult,/ˈkʌlt/,audio/cult/en021561.mp3,train,ˈkʌlt
103,convert,/kənˈvɜːrt/,audio/convert/en019319.mp3,train,kənˈvɜːrt
104,alternative,/ɔːlˈtɜːrnətɪv/,audio/alternative/en002804.mp3,train,ɔːlˈtɜːrnətɪv
105,sailing,/ˈseɪlɪŋ/,audio/sailing/en074870.mp3,train,ˈseɪlɪŋ
106,ventures,/ˈvɛntʃər/,audio/ventures/en095361.mp3,train,ˈvɛntʃər
107,unable,/ʌnˈeɪbəl/,audio/unable/en093225.mp3,train,ʌnˈeɪbəl
108,prices,/ˈpraɪs/,audio/prices/en066649.mp3,train,ˈpraɪs
109,tie,/ˈtaɪ/,audio/tie/en090240.mp3,train,ˈtaɪ
110,merger,/ˈmɜːrdʒər/,audio/merger/en054892.mp3,train,ˈmɜːrdʒər
111,fact,/ˈfækt/,audio/fact/en032351.mp3,train,ˈfækt
112,platforms,/ˈplætfɔːrm/,audio/platforms/en064462.mp3,train,ˈplætfɔːrm
113,limousines,/lɪməˈziːn/,audio/limousines/en1052074.mp3,train,lɪməˈziːn
114,increase,/ˈɪnkriːs/,audio/increase/en045740.mp3,train,ˈɪnkriːs
115,knights,/ˈnaɪt/,audio/knights/en049229.mp3,train,ˈnaɪt
116,ability,/əˈbɪlɪti/,audio/ability/en000159.mp3,train,əˈbɪlɪti
117,beauty,/ˈbjuːti/,audio/beauty/en007203.mp3,train,ˈbjuːti
118,cheap,/ˈtʃiːp/,audio/cheap/en014288.mp3,train,ˈtʃiːp
119,system,/ˈsɪstəm/,audio/system/en087631.mp3,train,ˈsɪstəm
120,welsh,/ˈwɛlʃ/,audio/welsh/en097447.mp3,train,ˈwɛlʃ
121,upon,/əˈpɒn/,audio/upon/en094521.mp3,train,əˈpɒn
122,realize,/ˈrɪəlaɪz/,audio/realize/en069937.mp3,train,ˈrɪəlaɪz
123,publish,/ˈpʌblɪʃ/,audio/publish/en067970.mp3,train,ˈpʌblɪʃ
124,not,/ˈnɒt/,audio/not/en058650.mp3,train,ˈnɒt
125,supervisor,/ˈsuːpərvaɪzər/,audio/supervisor/en086469.mp3,train,ˈsuːpərvaɪzər
126,increases,/ˈɪnkriːs/,audio/increases/en045740.mp3,train,ˈɪnkriːs
127,seventh,/ˈsɛvənθ/,audio/seventh/en077275.mp3,train,ˈsɛvənθ
128,consultants,/kənˈsʌltənt/,audio/consultants/en018775.mp3,train,kənˈsʌltənt
129,engineers,/ˌɛndʒɪˈnɪər/,audio/engineers/en029918.mp3,train,ˌɛndʒɪˈnɪər
130,governor,/ˈgʌvərnər/,audio/governor/en039496.mp3,train,ˈgʌvərnər
131,efficiently,/ɪˈfɪʃəntli/,audio/efficiently/en1028470.mp3,train,ɪˈfɪʃəntli
132,burn,/ˈbɜːrn/,audio/burn/en011842.mp3,train,ˈbɜːrn
133,bibliography,/ˌbɪbliˈɒgrəfi/,audio/bibliography/en008060.mp3,train,ˌbɪbliˈɒgrəfi
134,cuts,/ˈkʌt/,audio/cuts/en021941.mp3,train,ˈkʌt
135,metal,/ˈmɛtəl/,audio/metal/en054995.mp3,train,ˈmɛtəl
136,cleaner,/ˈkliːnər/,audio/cleaner/en015557.mp3,train,ˈkliːnər
137,dial,/ˈdaɪəl/,audio/dial/en024698.mp3,train,ˈdaɪəl
138,promotional,/prəˈməʊʃənəl/,audio/promotional/en1068997.mp3,train,prəˈməʊʃənəl
139,sons,/ˈsʌn/,audio/sons/en081488.mp3,train,ˈsʌn
140,dame,/ˈdeɪm/,audio/dame/en1021787.mp3,train,ˈdeɪm
141,above,/əˈbʌv/,audio/above/en000257.mp3,train,əˈbʌv
142,faq,/ˈfæk/,audio/faq/en1032377.mp3,train,ˈfæk
143,win,/ˈwɪn/,audio/win/en098398.mp3,train,ˈwɪn
144,fat,/ˈfæt/,audio/fat/en033045.mp3,train,ˈfæt
145,developing,/dɪˈvɛləpɪŋ/,audio/developing/en024524.mp3,train,dɪˈvɛləpɪŋ
146,seekers,/ˈsiːkəʳ/,audio/seekers/en076614.mp3,train,ˈsiːkəʳ
147,doe,/ˌdiːəʊˈiː/,audio/doe/en026575.mp3,train,ˌdiːəʊˈiː
148,committees,/kəˈmɪti/,audio/committees/en017205.mp3,train,kəˈmɪti
149,professionals,/prəˈfɛʃənəl/,audio/professionals/en067169.mp3,train,prəˈfɛʃənəl
150,leaving,/ˈliːvɪŋ/,audio/leaving/en050420.mp3,train,ˈliːvɪŋ
151,buys,/ˈbaɪ/,audio/buys/en012116.mp3,train,ˈbaɪ
152,others,/ˈʌðər/,audio/others/en060329.mp3,train,ˈʌðər
153,storm,/ˈstɔːrm/,audio/storm/en084648.mp3,train,ˈstɔːrm
154,promotion,/prəˈməʊʃən/,audio/promotion/en067379.mp3,train,prəˈməʊʃən
155,footwear,/ˈfʊtwɛər/,audio/footwear/en1034700.mp3,train,ˈfʊtwɛər
156,council,/ˈkaʊnsəl/,audio/council/en019973.mp3,train,ˈkaʊnsəl
157,census,/ˈsɛnsəs/,audio/census/en1014248.mp3,train,ˈsɛnsəs
158,entrepreneur,/ˌɒntrəprəˈnɜːr/,audio/entrepreneur/en030374.mp3,train,ˌɒntrəprəˈnɜːr
159,appraisal,/əˈpreɪzəl/,audio/appraisal/en003907.mp3,train,əˈpreɪzəl
160,hay,/ˈheɪ/,audio/hay/en042074.mp3,train,ˈheɪ
161,pack,/ˈpæk/,audio/pack/en061371.mp3,train,ˈpæk
162,panama,/ˈpænəmɑː/,audio/panama/en1062667.mp3,train,ˈpænəmɑː
163,local,/ˈləʊkəl/,audio/local/en051937.mp3,train,ˈləʊkəl
164,sure,/ˈʃʊər/,audio/sure/en086618.mp3,train,ˈʃʊər
165,partially,/ˈpɑːrʃəli/,audio/partially/en062061.mp3,train,ˈpɑːrʃəli
166,rural,/ˈrʊərəl/,audio/rural/en074605.mp3,train,ˈrʊərəl
167,laboratory,/ləˈbɒrətəri/,audio/laboratory/en049383.mp3,train,ləˈbɒrətəri
168,constraint,/kənˈstreɪnt/,audio/constraint/en018721.mp3,train,kənˈstreɪnt
169,steps,/ˈstɛp/,audio/steps/en084146.mp3,train,ˈstɛp
170,disagree,/ˌdɪsəˈgriː/,audio/disagree/en025306.mp3,train,ˌdɪsəˈgriː
171,investor,/ɪnˈvɛstər/,audio/investor/en047469.mp3,train,ɪnˈvɛstər
172,hormone,/ˈhɔːrməʊn/,audio/hormone/en1042652.mp3,train,ˈhɔːrməʊn
173,selections,/sɪˈlɛkʃən/,audio/selections/en076705.mp3,train,sɪˈlɛkʃən
174,preview,/ˈpriːvjuː/,audio/preview/en066609.mp3,train,ˈpriːvjuː
175,entirely,/ɪnˈtaɪərli/,audio/entirely/en030300.mp3,train,ɪnˈtaɪərli
176,quest,/ˈkwɛst/,audio/quest/en068806.mp3,train,ˈkwɛst
177,solve,/ˈsɒlv/,audio/solve/en081378.mp3,train,ˈsɒlv
178,gate,/ˈgeɪt/,audio/gate/en037822.mp3,train,ˈgeɪt
179,adaptive,/əˈdæptɪv/,audio/adaptive/en1001772.mp3,train,əˈdæptɪv
180,typing,/ˈtaɪpɪŋ/,audio/typing/en093114.mp3,train,ˈtaɪpɪŋ
181,conclusion,/kənˈkluːʒən/,audio/conclusion/en018033.mp3,train,kənˈkluːʒən
182,university,/ˌjuːniˈvɜːrsəti/,audio/university/en094001.mp3,train,ˌjuːniˈvɜːrsəti
183,logs,/ˈlɒg/,audio/logs/en052038.mp3,train,ˈlɒg
184,affiliation,/əˌfɪliˈeɪʃən/,audio/affiliation/en001784.mp3,train,əˌfɪliˈeɪʃən
185,corps,/ˈkɔːr/,audio/corps/en019715.mp3,train,ˈkɔːr
186,quotations,/kwəʊˈteɪʃən/,audio/quotations/en068988.mp3,train,kwəʊˈteɪʃən
187,visa,/ˈviːzə/,audio/visa/en095824.mp3,train,ˈviːzə
188,ideas,/aɪˈdɪə/,audio/ideas/en044895.mp3,train,aɪˈdɪə
189,tracking,/ˈtrækɪŋ/,audio/tracking/en091263.mp3,train,ˈtrækɪŋ
190,scary,/ˈskɛəri/,audio/scary/en075593.mp3,train,ˈskɛəri
191,agrees,/əˈgriː/,audio/agrees/en002025.mp3,train,əˈgriː
192,toolkit,/ˈtuːlˌkɪt/,audio/toolkit/en1090462.mp3,train,ˈtuːlˌkɪt
193,collect,/kəˈlɛkt/,audio/collect/en016647.mp3,train,kəˈlɛkt
194,serving,/ˈsɜːrvɪŋ/,audio/serving/en077099.mp3,train,ˈsɜːrvɪŋ
195,chi,/kaɪ/,audio/chi/en1015097.mp3,train,kaɪ
196,continue,/kənˈtɪnjuː/,audio/continue/en019016.mp3,train,kənˈtɪnjuː
197,lift,/ˈlɪft/,audio/lift/en051146.mp3,train,ˈlɪft
198,terminals,/ˈtɜːrmɪnəl/,audio/terminals/en088954.mp3,train,ˈtɜːrmɪnəl
199,broadcast,/ˈbrɔːdkɑːst/,audio/broadcast/en010884.mp3,train,ˈbrɔːdkɑːst
200,philosophy,/fɪˈlɒsəfi/,audio/philosophy/en063578.mp3,train,fɪˈlɒsəfi
201,butter,/ˈbʌtər/,audio/butter/en012056.mp3,train,ˈbʌtər
202,actively,/ˈæktɪvli/,audio/actively/en000985.mp3,train,ˈæktɪvli
203,teddy,/ˈtɛdi/,audio/teddy/en1088618.mp3,train,ˈtɛdi
204,genes,/ˈdʒiːn/,audio/genes/en037976.mp3,train,ˈdʒiːn
205,spell,/ˈspɛl/,audio/spell/en082303.mp3,train,ˈspɛl
206,composite,/ˈkɒmpəzɪt/,audio/composite/en017724.mp3,train,ˈkɒmpəzɪt
207,spec,/ˈspɛk/,audio/spec/en082098.mp3,train,ˈspɛk
208,relatively,/ˈrɛlətɪvli/,audio/relatively/en071264.mp3,train,ˈrɛlətɪvli
209,feet,/ˈfiːt/,audio/feet/en033393.mp3,train,ˈfiːt
210,pub,/ˈpʌb/,audio/pub/en067937.mp3,train,ˈpʌb
211,broker,/ˈbrəʊkər/,audio/broker/en010980.mp3,train,ˈbrəʊkər
212,acre,/ˈeɪkər/,audio/acre/en000917.mp3,train,ˈeɪkər
213,colombia,/kəˈlɒmbiə/,audio/colombia/en1017099.mp3,train,kəˈlɒmbiə
214,farmers,/ˈfɑːmə/,audio/farmers/en032935.mp3,train,ˈfɑːmə
215,formats,/ˈfɔːrmæt/,audio/formats/en036132.mp3,train,ˈfɔːrmæt
216,additional,/əˈdɪʃənəl/,audio/additional/en001200.mp3,train,əˈdɪʃənəl
217,damage,/ˈdæmɪdʒ/,audio/damage/en022218.mp3,train,ˈdæmɪdʒ
218,brands,/ˈbrænd/,audio/brands/en010179.mp3,train,ˈbrænd
219,emissions,/ɪˈmɪʃən/,audio/emissions/en1029149.mp3,train,ɪˈmɪʃən
220,nomination,/ˌnɒmɪˈneɪʃən/,audio/nomination/en1059566.mp3,train,ˌnɒmɪˈneɪʃən
221,fitting,/ˈfɪtɪŋ/,audio/fitting/en034400.mp3,train,ˈfɪtɪŋ
222,update,/ʌpˈdeɪt/,audio/update/en094420.mp3,train,ʌpˈdeɪt
223,canvas,/ˈkænvəs/,audio/canvas/en012711.mp3,train,ˈkænvəs
224,jamaica,/dʒəˈmeɪkə/,audio/jamaica/en1048763.mp3,train,dʒəˈmeɪkə
225,moscow,/ˈmɒskəʊ/,audio/moscow/en1057696.mp3,train,ˈmɒskəʊ
226,leisure,/ˈlɛʒər/,audio/leisure/en050600.mp3,train,ˈlɛʒər
227,december,/dɪˈsɛmbər/,audio/december/en022893.mp3,train,dɪˈsɛmbər
228,british,/ˈbrɪtɪʃ/,audio/british/en010847.mp3,train,ˈbrɪtɪʃ
229,coverage,/ˈkʌvərɪdʒ/,audio/coverage/en020323.mp3,train,ˈkʌvərɪdʒ
230,hazardous,/ˈhæzərdəs/,audio/hazardous/en042097.mp3,train,ˈhæzərdəs
231,affiliate,/əˈfɪliət/,audio/affiliate/en001773.mp3,train,əˈfɪliət
232,wants,/ˈwɒnt/,audio/wants/en096493.mp3,train,ˈwɒnt
233,belt,/ˈbɛlt/,audio/belt/en007701.mp3,train,ˈbɛlt
234,sport,/ˈspɔːrt/,audio/sport/en082772.mp3,train,ˈspɔːrt
235,passenger,/ˈpæsɪndʒər/,audio/passenger/en062225.mp3,train,ˈpæsɪndʒər
236,machinery,/məˈʃiːnəri/,audio/machinery/en052998.mp3,train,məˈʃiːnəri
237,transit,/ˈtrænsɪt/,audio/transit/en1091141.mp3,train,ˈtrænsɪt
238,grove,/ˈgrəʊv/,audio/grove/en040501.mp3,train,ˈgrəʊv
239,systematic,/ˌsɪstəˈmætɪk/,audio/systematic/en1087641.mp3,train,ˌsɪstəˈmætɪk
240,flow,/ˈfləʊ/,audio/flow/en035111.mp3,train,ˈfləʊ
241,cable,/ˈkeɪbəl/,audio/cable/en012247.mp3,train,ˈkeɪbəl
242,satisfaction,/ˌsætɪsˈfækʃən/,audio/satisfaction/en075199.mp3,train,ˌsætɪsˈfækʃən
243,aquatic,/əˈkwætɪk/,audio/aquatic/en1004961.mp3,train,əˈkwætɪk
244,romantic,/rəʊˈmæntɪk/,audio/romantic/en073958.mp3,train,rəʊˈmæntɪk
245,composer,/kəmˈpəʊzər/,audio/composer/en017713.mp3,train,kəmˈpəʊzər
246,vintage,/ˈvɪntɪdʒ/,audio/vintage/en095734.mp3,train,ˈvɪntɪdʒ
247,glory,/ˈglɔːri/,audio/glory/en1037742.mp3,train,ˈglɔːri
248,population,/ˌpɒpjʊˈleɪʃən/,audio/population/en065431.mp3,train,ˌpɒpjʊˈleɪʃən
249,blogs,/ˈblɒg/,audio/blogs/en008864.mp3,train,ˈblɒg
250,dish,/ˈdɪʃ/,audio/dish/en025725.mp3,train,ˈdɪʃ
251,ties,/ˈtaɪ/,audio/ties/en090240.mp3,train,ˈtaɪ
252,sand,/ˈsænd/,audio/sand/en075060.mp3,train,ˈsænd
253,councils,/ˈkaʊnsəl/,audio/councils/en019973.mp3,train,ˈkaʊnsəl
254,said,/ˈsɛd/,audio/said/en074851.mp3,train,ˈsɛd
255,instance,/ˈɪnstəns/,audio/instance/en046735.mp3,train,ˈɪnstəns
256,integer,/ˈɪntɪdʒər/,audio/integer/en046902.mp3,train,ˈɪntɪdʒər
257,lack,/ˈlæk/,audio/lack/en049415.mp3,train,ˈlæk
258,intervals,/ˈɪntərvəl/,audio/intervals/en047247.mp3,train,ˈɪntərvəl
259,function,/ˈfʌŋkʃən/,audio/function/en037200.mp3,train,ˈfʌŋkʃən
260,dvd,/ˌdiːviːˈdiː/,audio/dvd/en1027905.mp3,train,ˌdiːviːˈdiː
261,voices,/ˈvɔɪs/,audio/voices/en095937.mp3,train,ˈvɔɪs
262,flying,/ˈflaɪɪŋ/,audio/flying/en035315.mp3,train,ˈflaɪɪŋ
263,velocity,/vɪˈlɒsəti/,audio/velocity/en1096218.mp3,train,vɪˈlɒsəti
264,intimate,/ˈɪntɪmət/,audio/intimate/en047290.mp3,train,ˈɪntɪmət
265,routines,/ruːˈtiːn/,audio/routines/en074145.mp3,train,ruːˈtiːn
266,thread,/ˈθrɛd/,audio/thread/en089740.mp3,train,ˈθrɛd
267,quote,/ˈkwəʊt/,audio/quote/en068991.mp3,train,ˈkwəʊt
268,meaning,/ˈmiːnɪŋ/,audio/meaning/en054394.mp3,train,ˈmiːnɪŋ
269,start,/ˈstɑːt/,audio/start/en083718.mp3,train,ˈstɑːt
270,taiwan,/ˌtaɪˈwɑːn/,audio/taiwan/en1087873.mp3,train,ˌtaɪˈwɑːn
271,cricket,/ˈkrɪkɪt/,audio/cricket/en020904.mp3,train,ˈkrɪkɪt
272,serious,/ˈsɪəriəs/,audio/serious/en077010.mp3,train,ˈsɪəriəs
273,vulnerability,/ˌvʌlnərəˈbɪləti/,audio/vulnerability/en1097484.mp3,train,ˌvʌlnərəˈbɪləti
274,minimize,/ˈmɪnɪmaɪz/,audio/minimize/en1056352.mp3,train,ˈmɪnɪmaɪz
275,particle,/ˈpɑːrtɪkəl/,audio/particle/en1063306.mp3,train,ˈpɑːrtɪkəl
276,details,/ˈdiːteɪl/,audio/details/en024356.mp3,train,ˈdiːteɪl
277,snow,/ˈsnəʊ/,audio/snow/en080912.mp3,train,ˈsnəʊ
278,ceremony,/ˈsɛrɪməni/,audio/ceremony/en013764.mp3,train,ˈsɛrɪməni
279,type,/ˈtaɪp/,audio/type/en093073.mp3,train,ˈtaɪp
280,spot,/ˈspɒt/,audio/spot/en082787.mp3,train,ˈspɒt
281,scripts,/ˈskrɪpt/,audio/scripts/en076133.mp3,train,ˈskrɪpt
282,tribe,/ˈtraɪb/,audio/tribe/en091953.mp3,train,ˈtraɪb
283,let,/ˈlɛt/,audio/let/en050795.mp3,train,ˈlɛt
284,front,/ˈfrʌnt/,audio/front/en036967.mp3,train,ˈfrʌnt
285,maximize,/ˈmæksɪmaɪz/,audio/maximize/en1055063.mp3,train,ˈmæksɪmaɪz
286,leaf,/ˈliːf/,audio/leaf/en050212.mp3,train,ˈliːf
287,intelligence,/ɪnˈtɛlɪdʒəns/,audio/intelligence/en046952.mp3,train,ɪnˈtɛlɪdʒəns
288,total,/ˈtəʊtəl/,audio/total/en091049.mp3,train,ˈtəʊtəl
289,climb,/ˈklaɪm/,audio/climb/en015784.mp3,train,ˈklaɪm
290,cant,/ˈkænt/,audio/cant/en012687.mp3,train,ˈkænt
291,words,/wɜːdz/,audio/words/en099004.mp3,train,wɜːdz
292,rats,/ˈræt/,audio/rats/en069601.mp3,train,ˈræt
293,paradise,/ˈpærədaɪs/,audio/paradise/en061822.mp3,train,ˈpærədaɪs
294,meetings,/ˈmiːtɪŋ/,audio/meetings/en054654.mp3,train,ˈmiːtɪŋ
295,beer,/ˈbɪər/,audio/beer/en007345.mp3,train,ˈbɪər
296,team,/ˈtiːm/,audio/team/en088498.mp3,train,ˈtiːm
297,associate,/əˈsəʊsiət/,audio/associate/en004866.mp3,train,əˈsəʊsiət
298,wonderful,/ˈwʌndərfʊl/,audio/wonderful/en098915.mp3,train,ˈwʌndərfʊl
299,job,/ˈdʒɒb/,audio/job/en048236.mp3,train,ˈdʒɒb
300,actor,/ˈæktər/,audio/actor/en001000.mp3,train,ˈæktər
301,subscription,/səbˈskrɪpʃən/,audio/subscription/en1085964.mp3,train,səbˈskrɪpʃən
302,directly,/daɪˈrɛktli/,audio/directly/en025225.mp3,train,daɪˈrɛktli
